,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Álvaro Morata,9.0,es ESP,FW,24-301,78,11,19,57.9,119,36,7,9,77.8,2,4,50.0,0,0,,0,0.0,0.0,1,0,0,0,1
1,Michy Batshuayi,23.0,be BEL,FW,23-322,12,1,2,50.0,11,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
2,Willian,22.0,br BRA,FW,29-011,77,20,32,62.5,279,48,10,12,83.3,9,13,69.2,0,5,0.0,0,0.2,0.0,3,1,1,0,1
3,Pedro,11.0,es ESP,FW,30-023,13,2,2,100.0,58,47,0,0,,1,1,100.0,1,1,100.0,1,0.1,0.1,1,0,1,0,1
4,N'Golo Kanté,7.0,fr FRA,DM,26-144,90,26,35,74.3,444,169,14,15,93.3,8,10,80.0,3,6,50.0,0,0.1,0.1,1,1,2,1,6
5,David Luiz,30.0,br BRA,DM,30-120,90,22,31,71.0,383,73,10,11,90.9,7,9,77.8,4,9,44.4,0,0.0,0.0,0,2,0,0,4
6,Tiemoué Bakayoko,14.0,fr FRA,DM,23-003,90,10,16,62.5,130,42,7,10,70.0,3,5,60.0,0,0,,0,0.0,0.0,0,1,0,0,1
7,Marcos Alonso,3.0,es ESP,WB,26-235,90,26,38,68.4,439,163,14,16,87.5,11,14,78.6,1,6,16.7,0,0.0,0.0,0,2,0,0,1
8,Victor Moses,15.0,ng NGA,WB,26-251,90,16,22,72.7,269,62,8,8,100.0,4,7,57.1,2,4,50.0,0,0.1,0.0,1,0,1,0,4
9,Antonio Rüdiger,2.0,de GER,CB,24-170,90,20,28,71.4,446,175,8,8,100.0,7,11,63.6,5,9,55.6,0,0.0,0.0,0,1,0,0,0
10,Andreas Christensen,27.0,dk DEN,CB,21-132,90,16,16,100.0,310,158,6,6,100.0,5,5,100.0,4,4,100.0,0,0.0,0.0,0,1,0,0,1
11,César Azpilicueta,28.0,es ESP,CB,27-357,90,23,33,69.7,531,312,7,9,77.8,11,14,78.6,5,10,50.0,0,0.3,0.1,1,1,2,1,2
12,Thibaut Courtois,13.0,be BEL,GK,25-101,90,20,36,55.6,747,590,1,1,100.0,8,8,100.0,11,27,40.7,0,0.0,0.0,0,0,0,0,0
13,13 Players,,,,,990,213,310,68.7,4166,1875,93,106,87.7,76,102,74.5,36,81,44.4,1,0.7,0.4,8,10,7,2,22
