,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Dwight Gayle,9.0,eng ENG,FW,26-300,75,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
1,Mikel Merino,23.0,es ESP,CM,21-052,15,0,0,0,0,0,0,2,0.0,2,4,1,3,1,1,0,0
2,Christian Atsu,30.0,gh GHA,"LW,LM,AM",25-215,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
3,Matt Ritchie,11.0,sct SCO,"RW,RM,WB",27-337,90,2,1,1,1,0,1,2,50.0,1,4,0,4,2,4,2,0
4,Ayoze Pérez,17.0,es ESP,"AM,CM,FW",24-015,90,2,1,1,1,0,1,4,25.0,3,2,0,2,1,3,1,0
5,Isaac Hayden,14.0,eng ENG,"DM,CM",22-144,90,1,1,1,0,0,0,1,0.0,1,1,1,0,3,4,3,0
6,Jonjo Shelvey,8.0,eng ENG,DM,25-167,47,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0
7,Paul Dummett,3.0,wls WAL,LB,25-321,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,Jamaal Lascelles,6.0,eng ENG,CB,23-275,84,0,0,0,0,0,0,0,,0,3,3,0,0,0,5,0
9,Ciaran Clark,2.0,ie IRL,"LB,CB",27-321,90,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,6,0
10,Florian Lejeune,20.0,fr FRA,CB,26-085,33,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
11,Chancel Mbemba,18.0,cd COD,CB,23-005,57,1,1,1,0,0,0,0,,0,2,2,0,0,1,5,0
12,Javier Manquillo,19.0,es ESP,"RB,WB",23-100,90,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,6,0
13,Rob Elliot,1.0,ie IRL,GK,31-105,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,947,12,9,9,3,0,6,16,37.5,10,17,7,10,8,20,33,0
