,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Christian Benteke,17.0,be BEL,FW,26-252,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
1,Wilfried Zaha,11.0,ci CIV,AM,24-275,90,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0
2,Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-201,90,3,2,2,1,0,1,1,100.0,0,1,0,1,3,6,1,0
3,Jason Puncheon,42.0,eng ENG,CM,31-055,90,3,1,0,3,0,0,1,0.0,1,1,0,1,2,5,1,0
4,Luka Milivojević,4.0,rs SRB,CM,26-127,45,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0
5,Andros Townsend,10.0,eng ENG,AM,26-027,45,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0
6,Patrick van Aanholt,3.0,nl NED,WB,26-348,90,2,2,1,1,0,0,1,0.0,1,3,0,3,2,4,2,0
7,Joel Ward,2.0,eng ENG,WB,27-287,90,6,6,3,3,0,3,4,75.0,1,0,0,0,3,9,2,0
8,Jaïro Riedewald,44.0,nl NED,CB,20-337,90,2,2,1,1,0,0,0,,0,0,0,0,1,3,7,0
9,Scott Dann,6.0,eng ENG,CB,30-179,90,1,1,1,0,0,1,1,100.0,0,1,0,1,3,4,2,0
10,Timothy Fosu-Mensah,24.0,nl NED,CB,19-222,77,4,3,3,1,0,1,1,100.0,0,1,0,1,2,6,4,0
11,James Tomkins,5.0,eng ENG,CB,28-136,13,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
12,Wayne Hennessey,13.0,wls WAL,GK,30-200,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,24,19,13,11,0,6,11,54.5,5,9,0,9,19,43,20,0
