,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Gabriel Jesus,33.0,br BRA,FW,20-131,77,37,0,2,8,27,8,37,2,2,100.0,0,0.0,17,102,68,3,1,1,3,0,30,8
1,Raheem Sterling,7.0,eng ENG,FW,22-247,13,6,0,0,1,5,0,6,1,1,100.0,0,0.0,4,45,14,1,0,0,0,1,7,2
2,Sergio Agüero,10.0,ar ARG,FW,29-071,82,31,0,0,6,26,5,31,3,1,33.3,2,66.7,16,74,24,1,1,0,4,0,21,11
3,Bernardo Silva,20.0,pt POR,FW,23-002,8,15,0,0,10,5,0,15,0,0,,0,,11,64,16,0,0,0,0,0,14,3
4,Danilo,3.0,br BRA,LW,26-028,67,54,2,10,13,31,2,54,0,0,,0,,31,132,73,0,1,0,1,1,39,15
5,Leroy Sané,19.0,de GER,LW,21-213,23,19,1,1,7,11,2,19,1,0,0.0,1,100.0,16,54,22,0,1,0,3,0,16,7
6,Kyle Walker,2.0,eng ENG,RW,27-076,90,84,0,10,38,37,2,84,2,0,0.0,2,100.0,36,322,192,4,3,1,1,1,55,19
7,David Silva,21.0,es ESP,CM,31-216,90,111,0,5,56,50,3,111,1,1,100.0,0,0.0,85,462,227,5,2,0,0,0,98,9
8,Kevin De Bruyne,17.0,be BEL,CM,26-045,90,98,0,3,35,61,2,98,2,1,50.0,1,50.0,58,423,271,10,7,1,0,1,78,9
9,Fernandinho,25.0,br BRA,DM,32-100,90,110,1,16,71,24,3,110,0,0,,0,,66,255,148,2,3,0,1,0,92,2
10,Nicolás Otamendi,30.0,ar ARG,CB,29-181,90,110,2,21,78,12,0,110,0,0,,0,,78,402,143,1,3,0,0,0,85,1
11,John Stones,5.0,eng ENG,CB,23-076,90,102,0,18,80,4,0,102,0,0,,0,,78,437,338,5,1,0,0,0,93,0
12,Vincent Kompany,4.0,be BEL,CB,31-124,90,94,2,18,71,5,0,94,0,0,,0,,58,321,190,2,3,0,1,0,77,1
13,Ederson,31.0,br BRA,GK,23-360,90,26,20,26,0,0,0,26,0,0,,0,,12,61,53,0,0,0,0,0,10,0
14,14 Players,,,,,990,897,28,130,474,298,27,897,12,6,50.0,6,50.0,566,3154,1779,34,26,3,14,4,715,87
