,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jay Rodriguez,19.0,eng ENG,"FW,LM",28-021,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
1,James McClean,14.0,ie IRL,LM,28-119,62,1,0,1,0,0,0,2,0.0,2,2,0,2,1,2,1,0
2,Hal Robson-Kanu,4.0,wls WAL,"FW,LM",28-090,20,1,1,0,0,1,0,0,,0,1,1,0,0,1,0,0
3,Sam Field,28.0,eng ENG,CM,19-103,85,2,0,1,1,0,0,1,0.0,1,0,0,0,1,3,2,0
4,Salomón Rondón,9.0,ve VEN,CM,27-337,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Jake Livermore,8.0,eng ENG,CM,27-278,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
6,Matt Phillips,10.0,sct SCO,RM,26-159,90,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,3,0
7,Gareth Barry,18.0,eng ENG,DM,36-177,90,1,0,0,1,0,0,1,0.0,1,2,2,0,1,2,10,0
8,Chris Brunt,11.0,nir NIR,LB,32-248,90,1,0,1,0,0,0,3,0.0,3,0,0,0,0,1,3,0
9,Ahmed Hegazi,26.0,eg EGY,CB,26-206,90,1,0,1,0,0,0,0,,0,0,0,0,1,2,11,0
10,Craig Dawson,25.0,eng ENG,CB,27-105,90,0,0,0,0,0,0,0,,0,2,1,1,2,2,3,0
11,Allan Nyom,2.0,cm CMR,RB,29-101,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,6,0
12,Ben Foster,1.0,eng ENG,GK,34-138,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,982,9,3,4,3,2,0,9,0.0,9,8,5,3,8,17,39,0
