,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Christian Benteke,17.0,be BEL,FW,26-259,90,1,0,0,5,2,1,0,0,0,0,0,0,0,6,5,54.5
1,Andros Townsend,10.0,eng ENG,"FW,AM",26-034,90,0,0,0,1,1,0,1,0,1,0,0,0,3,0,0,
2,Luka Milivojević,4.0,rs SRB,CM,26-134,76,0,0,0,1,0,0,0,1,1,0,0,0,7,0,0,
3,Sullay Kaikai,25.0,sl SLE,CM,21-358,14,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0
4,Jason Puncheon,42.0,eng ENG,CM,31-062,72,1,0,0,2,0,0,1,2,0,0,0,0,5,1,3,25.0
5,James McArthur,18.0,sct SCO,CM,29-316,18,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,
6,Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-208,90,0,0,0,0,4,0,0,3,2,0,0,0,8,0,1,0.0
7,Patrick van Aanholt,3.0,nl NED,WB,26-355,83,1,0,0,0,1,1,0,5,4,0,0,0,9,1,0,100.0
8,Jeffrey Schlupp,15.0,gh GHA,WB,24-239,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
9,Joel Ward,2.0,eng ENG,WB,27-294,90,0,0,0,1,1,0,2,1,1,0,0,0,4,1,1,50.0
10,James Tomkins,5.0,eng ENG,CB,28-143,90,0,0,0,1,1,0,0,4,0,0,0,0,3,2,2,50.0
11,Scott Dann,6.0,eng ENG,CB,30-186,90,0,0,0,1,0,2,0,4,0,0,0,0,3,2,2,50.0
12,Timothy Fosu-Mensah,24.0,nl NED,CB,19-229,90,0,0,0,1,0,0,0,5,2,0,0,0,7,0,2,0.0
13,Wayne Hennessey,13.0,wls WAL,GK,30-207,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
14,14 Players,,,,,990,3,0,0,13,12,4,6,29,11,0,0,0,53,13,17,43.3
