,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Javier Hernández,17.0,mx MEX,FW,29-073,90,19,27,70.4,310,69,11,13,84.6,6,10,60.0,1,2,50.0,0,0.0,0.0,0,2,1,0,4
1,Marko Arnautović,27.0,at AUT,"LW,LM",28-116,90,20,30,66.7,294,76,6,7,85.7,10,15,66.7,1,4,25.0,0,0.1,0.1,2,0,1,0,2
2,André Ayew,20.0,gh GHA,"RW,RM",27-239,90,25,30,83.3,261,59,17,18,94.4,5,6,83.3,0,1,0.0,0,0.0,0.1,0,2,1,0,2
3,Edimilson Fernandes,31.0,ch SUI,AM,21-120,59,15,19,78.9,182,37,7,9,77.8,2,3,66.7,2,3,66.7,0,0.0,0.0,1,0,1,0,1
4,Diafra Sakho,15.0,sn SEN,FW,27-232,31,4,7,57.1,44,7,3,5,60.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
5,Pedro Obiang,14.0,gq EQG,"DM,CM",25-139,90,44,56,78.6,634,247,28,32,87.5,12,15,80.0,2,4,50.0,0,0.0,0.0,1,4,0,0,8
6,Mark Noble,16.0,eng ENG,DM,30-097,60,25,30,83.3,344,65,13,13,100.0,8,10,80.0,1,3,33.3,0,0.2,0.1,3,1,1,0,3
7,Declan Rice,41.0,eng ENG,CM,18-211,30,22,23,95.7,412,85,10,10,100.0,8,8,100.0,4,4,100.0,0,0.0,0.0,0,2,0,0,1
8,Arthur Masuaku,26.0,cd COD,LB,23-279,80,24,31,77.4,375,162,9,11,81.8,11,11,100.0,2,5,40.0,0,0.0,0.0,0,1,0,0,2
9,Aaron Cresswell,3.0,eng ENG,LB,27-241,10,10,13,76.9,219,32,4,4,100.0,3,3,100.0,3,4,75.0,0,0.0,0.0,0,1,0,0,1
10,Angelo Ogbonna,21.0,it ITA,CB,29-082,90,35,44,79.5,799,406,11,12,91.7,16,20,80.0,8,12,66.7,0,0.0,0.0,0,6,0,0,4
11,Winston Reid,2.0,nz NZL,CB,29-041,90,41,47,87.2,865,176,11,14,78.6,23,23,100.0,6,9,66.7,0,0.0,0.0,0,2,0,0,3
12,Pablo Zabaleta,5.0,ar ARG,RB,32-209,90,26,41,63.4,391,162,15,19,78.9,8,14,57.1,2,7,28.6,0,0.0,0.0,0,3,1,0,5
13,Joe Hart,25.0,eng ENG,GK,30-116,90,21,35,60.0,794,648,0,0,,12,13,92.3,9,22,40.9,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,331,433,76.4,5924,2231,145,167,86.8,125,152,82.2,41,80,51.3,0,0.4,0.5,7,24,6,0,36
