,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Javier Hernández,17.0,mx MEX,"FW,LW",29-079,90,15,22,68.2,334,122,4,6,66.7,9,11,81.8,2,5,40.0,0,0.1,0.1,2,1,3,3,0
1,Marko Arnautović,7.0,at AUT,LW,28-122,32,9,13,69.2,167,61,5,7,71.4,3,5,60.0,1,1,100.0,0,0.1,0.0,1,1,0,0,0
2,Michail Antonio,30.0,jm JAM,RW,27-144,67,10,17,58.8,188,75,5,9,55.6,3,5,60.0,2,2,100.0,0,0.2,0.2,2,2,1,0,2
3,Diafra Sakho,15.0,sn SEN,"FW,RW",27-238,23,1,4,25.0,14,3,1,1,100.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
4,André Ayew,20.0,gh GHA,AM,27-245,67,13,20,65.0,213,46,6,7,85.7,7,10,70.0,0,1,0.0,0,0.0,0.0,0,2,0,0,1
5,Edimilson Fernandes,31.0,ch SUI,"RW,AM",21-126,23,4,7,57.1,94,0,3,3,100.0,0,1,0.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0
6,Mark Noble,16.0,eng ENG,DM,30-103,90,37,46,80.4,952,242,7,10,70.0,20,22,90.9,10,14,71.4,0,0.1,0.1,2,2,0,0,4
7,Declan Rice,41.0,eng ENG,DM,18-217,75,23,30,76.7,460,46,7,8,87.5,14,19,73.7,2,3,66.7,0,0.0,0.0,0,1,0,0,1
8,Pedro Obiang,14.0,gq EQG,DM,25-145,15,3,4,75.0,51,22,0,0,,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
9,Aaron Cresswell,3.0,eng ENG,LB,27-247,90,23,32,71.9,578,227,8,9,88.9,7,9,77.8,8,13,61.5,0,0.2,0.2,4,4,1,1,3
10,Angelo Ogbonna,21.0,it ITA,CB,29-088,90,24,31,77.4,587,244,5,6,83.3,15,18,83.3,4,7,57.1,0,0.0,0.0,0,2,0,0,1
11,José Fonte,4.0,pt POR,CB,33-240,90,14,21,66.7,323,145,1,2,50.0,10,13,76.9,3,6,50.0,0,0.0,0.0,0,0,0,0,0
12,Pablo Zabaleta,5.0,ar ARG,RB,32-215,90,24,34,70.6,526,293,5,9,55.6,15,18,83.3,4,6,66.7,0,0.0,0.0,1,2,1,1,5
13,Joe Hart,25.0,eng ENG,GK,30-122,90,13,37,35.1,820,801,0,0,,0,0,,13,37,35.1,0,0.0,0.0,0,2,0,0,0
14,14 Players,,,,,932,213,318,67.0,5307,2327,57,77,74.0,105,135,77.8,50,98,51.0,0,0.8,0.6,12,19,6,5,17
