,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Michy Batshuayi,23.0,be BEL,FW,23-314,58,23,0,1,16,6,0,23,0,0,,0,,10,17,2,0,0,0,4,0,16,4
1,Álvaro Morata,9.0,es ESP,FW,24-293,32,12,0,0,3,9,2,12,0,0,,0,,10,44,9,0,0,0,1,2,11,3
2,Jeremie Boga,38.0,ci CIV,AM,20-221,17,5,0,0,2,3,0,5,0,0,,0,,4,7,2,0,0,0,1,0,5,1
3,Andreas Christensen,27.0,dk DEN,CB,21-124,72,53,3,19,28,6,2,53,1,1,100.0,0,0.0,34,217,172,2,2,0,1,0,38,0
4,Charly Musonda Jr.,17.0,be BEL,CB,20-301,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
5,Willian,22.0,br BRA,AM,29-003,90,72,1,7,23,42,3,72,3,2,66.7,1,33.3,47,438,210,6,3,2,2,0,49,8
6,N'Golo Kanté,7.0,fr FRA,CM,26-136,90,75,1,7,34,35,2,75,1,0,0.0,1,100.0,50,313,136,2,5,0,3,0,58,6
7,Cesc Fàbregas,4.0,es ESP,CM,30-100,80,97,1,19,51,27,1,97,1,1,100.0,0,0.0,59,289,148,3,0,0,2,0,76,0
8,Marcos Alonso,3.0,es ESP,WB,26-227,90,59,3,16,19,26,8,59,2,1,50.0,1,50.0,33,224,121,3,2,1,2,1,36,10
9,César Azpilicueta,28.0,es ESP,WB,27-349,90,75,0,17,26,32,3,75,0,0,,0,,33,172,114,3,0,1,0,1,46,13
10,Gary Cahill,24.0,eng ENG,CB,31-236,13,14,0,6,6,2,0,14,0,0,,0,,8,104,54,1,2,0,1,0,8,0
11,David Luiz,30.0,br BRA,CB,30-112,90,56,6,31,19,8,2,56,0,0,,0,,33,242,105,2,1,0,0,1,37,1
12,Antonio Rüdiger,2.0,de GER,CB,24-162,90,88,5,41,40,7,0,88,0,0,,0,,54,393,303,3,2,0,0,0,63,2
13,Thibaut Courtois,13.0,be BEL,GK,25-093,90,38,31,37,1,0,0,38,0,0,,0,,19,106,64,0,0,0,0,0,24,0
14,14 Players,,,,,903,667,51,201,268,203,23,667,8,5,62.5,3,37.5,394,2566,1440,25,17,4,17,5,467,48
