,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Javier Hernández,17.0,mx MEX,FW,29-073,90,0,0,0,0,2,0,0,0,36,0,1,0,0.1,0.1,0.0,4,0,19,27,70.4,4,27,1,3,2
1,Marko Arnautović,27.0,at AUT,"LW,LM",28-116,90,0,0,0,0,2,0,0,0,42,2,1,0,0.1,0.1,0.1,4,0,20,30,66.7,2,26,1,1,0
2,André Ayew,20.0,gh GHA,"RW,RM",27-239,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,1,0,25,30,83.3,2,16,0,0,0
3,Edimilson Fernandes,31.0,ch SUI,AM,21-120,59,0,0,0,0,2,1,0,0,27,1,0,2,0.1,0.1,0.0,1,0,15,19,78.9,1,16,2,0,0
4,Diafra Sakho,15.0,sn SEN,FW,27-232,31,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,4,7,57.1,0,6,0,0,0
5,Pedro Obiang,14.0,gq EQG,"DM,CM",25-139,90,0,0,0,0,0,0,0,0,65,6,0,1,0.0,0.0,0.0,0,0,44,56,78.6,8,28,0,1,1
6,Mark Noble,16.0,eng ENG,DM,30-097,60,0,0,0,0,1,0,0,0,43,4,0,3,0.0,0.0,0.2,3,0,25,30,83.3,3,18,0,0,0
7,Declan Rice,41.0,eng ENG,CM,18-211,30,0,0,0,0,0,0,0,0,25,0,2,0,0.0,0.0,0.0,1,0,22,23,95.7,1,19,1,0,0
8,Arthur Masuaku,26.0,cd COD,LB,23-279,80,0,0,0,0,0,0,0,0,47,5,2,1,0.0,0.0,0.0,1,0,24,31,77.4,2,19,2,0,0
9,Aaron Cresswell,3.0,eng ENG,LB,27-241,10,0,0,0,0,1,0,0,0,15,0,0,1,0.0,0.0,0.0,1,0,10,13,76.9,1,7,1,0,0
10,Angelo Ogbonna,21.0,it ITA,CB,29-082,90,0,0,0,0,0,0,1,0,50,0,2,0,0.0,0.0,0.0,1,0,35,44,79.5,4,35,0,0,0
11,Winston Reid,2.0,nz NZL,CB,29-041,90,0,0,0,0,0,0,0,0,60,1,3,2,0.0,0.0,0.0,0,0,41,47,87.2,3,38,0,0,0
12,Pablo Zabaleta,5.0,ar ARG,RB,32-209,90,0,0,0,0,0,0,1,0,54,2,1,3,0.0,0.0,0.0,0,0,26,41,63.4,5,21,1,0,0
13,Joe Hart,25.0,eng ENG,GK,30-116,90,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.0,0,0,21,35,60.0,0,11,0,0,0
14,14 Players,,,,,990,0,0,0,0,9,1,2,0,541,21,12,14,0.5,0.5,0.4,17,0,331,433,76.4,36,287,9,5,3
