,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Romelu Lukaku,9.0,be BEL,FW,24-098,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,Marcus Rashford,19.0,eng ENG,LW,19-292,74,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,0,0
2,Anthony Martial,11.0,fr FRA,"LW,LM",21-257,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Juan Mata,8.0,es ESP,RW,29-113,74,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
4,Marouane Fellaini,27.0,be BEL,"RW,CM",29-270,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
5,Henrikh Mkhitaryan,22.0,am ARM,AM,28-210,84,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,0,0
6,Ander Herrera,21.0,es ESP,RM,28-005,6,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
7,Nemanja Matić,31.0,rs SRB,DM,29-018,90,4,3,1,2,1,1,3,33.3,2,3,0,3,1,5,5,0
8,Paul Pogba,6.0,fr FRA,"DM,CM",24-157,90,3,3,1,2,0,0,2,0.0,2,1,0,1,2,5,0,0
9,Daley Blind,17.0,nl NED,LB,27-163,90,2,1,0,2,0,1,1,100.0,0,2,0,2,3,5,5,0
10,Phil Jones,4.0,eng ENG,CB,25-179,90,1,1,1,0,0,0,0,,0,0,0,0,3,4,10,0
11,Eric Bailly,3.0,ci CIV,CB,23-129,90,1,1,1,0,0,0,0,,0,0,0,0,3,4,9,0
12,Antonio Valencia,25.0,ec ECU,RB,32-015,90,3,1,2,0,1,0,0,,0,2,0,2,1,4,2,0
13,David de Gea,1.0,es ESP,GK,26-285,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,16,11,6,7,3,3,8,37.5,5,10,0,10,17,33,32,0
