,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Manolo Gabbiadini,20.0,it ITA,FW,25-259,68,0,0,0,0,5,0,0,0,23,0,0,1,0.3,0.3,0.0,1,0,12,15,80.0,0,13,0,0,0
1,Charlie Austin,10.0,eng ENG,FW,28-038,22,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,5,7,71.4,0,8,0,0,0
2,Nathan Redmond,22.0,eng ENG,LW,23-159,90,0,0,0,0,4,0,1,0,53,0,0,2,0.1,0.1,0.3,10,0,40,46,87.0,10,41,1,0,0
3,James Ward-Prowse,16.0,eng ENG,RW,22-284,70,0,0,0,0,4,1,0,0,41,0,0,0,0.3,0.3,0.1,7,0,25,35,71.4,3,19,2,0,0
4,Sofiane Boufal,19.0,ma MAR,RW,23-329,20,0,0,0,0,1,0,0,0,24,1,0,0,0.0,0.0,0.0,1,0,15,20,75.0,0,19,0,2,2
5,Dušan Tadić,11.0,rs SRB,AM,28-265,90,0,0,0,0,4,1,0,0,64,2,1,2,0.7,0.7,0.1,9,0,31,47,66.0,9,51,5,3,3
6,Steven Davis,8.0,nir NIR,DM,32-223,90,0,0,0,0,2,0,0,0,79,3,0,0,0.1,0.1,0.1,4,0,68,72,94.4,15,57,1,0,0
7,Oriol Romeu,14.0,es ESP,DM,25-322,90,0,0,0,0,0,0,1,0,88,3,4,0,0.0,0.0,0.2,11,0,70,80,87.5,12,64,3,0,0
8,Ryan Bertrand,21.0,eng ENG,LB,28-007,85,0,0,0,0,1,0,0,0,81,1,1,0,0.0,0.0,0.7,5,0,65,77,84.4,4,48,3,1,0
9,Sam McQueen,38.0,eng ENG,LB,22-187,5,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,9,66.7,1,4,2,0,0
10,Maya Yoshida,3.0,jp JPN,CB,28-353,90,0,0,0,0,4,0,0,0,61,1,3,0,0.3,0.3,0.0,1,0,40,52,76.9,1,38,0,0,0
11,Jack Stephens,5.0,eng ENG,CB,23-197,90,0,0,0,0,1,0,0,0,44,0,3,1,0.1,0.1,0.1,1,0,31,37,83.8,2,30,2,1,0
12,Cédric Soares,2.0,pt POR,RB,25-346,90,0,0,0,0,2,0,0,0,80,1,0,2,0.1,0.1,0.0,3,0,52,68,76.5,9,46,5,1,1
13,Fraser Forster,44.0,eng ENG,GK,29-148,90,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,8,15,53.3,0,7,0,0,0
14,14 Players,,,,,990,0,0,0,0,29,2,2,0,672,12,12,8,2.0,2.0,1.7,54,0,468,580,80.7,66,445,24,8,6
