,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Saido Berahino,9.0,bi BDI,FW,24-008,71,13,12,1,0,0,0,0,0,0,0,0,0,8,0,0
1,Peter Crouch,25.0,eng ENG,FW,36-194,19,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
2,Bojan Krkić,27.0,es ESP,AM,26-349,71,27,26,1,0,0,0,2,0,0,0,0,0,22,0,2
3,Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-142,19,11,11,0,0,0,0,2,0,0,0,0,0,6,0,1
4,Xherdan Shaqiri,22.0,ch SUI,AM,25-306,90,35,23,12,4,0,0,11,1,7,4,2,1,20,0,0
5,Darren Fletcher,24.0,sct SCO,CM,33-192,90,47,46,1,1,0,0,3,0,0,0,0,0,30,0,2
6,Joe Allen,4.0,wls WAL,CM,27-151,90,34,33,0,0,0,0,1,0,0,0,0,0,26,1,0
7,Erik Pieters,3.0,nl NED,WB,29-005,90,36,26,10,2,0,1,4,8,0,0,0,0,24,0,3
8,Mame Biram Diouf,18.0,sn SEN,WB,29-239,90,20,18,1,0,0,0,1,1,0,0,0,0,12,1,0
9,Geoff Cameron,20.0,us USA,CB,32-032,90,45,31,13,1,0,0,2,12,0,0,0,0,25,1,0
10,Ryan Shawcross,17.0,eng ENG,CB,29-312,90,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
11,Kurt Zouma,6.0,fr FRA,CB,22-289,90,39,29,8,3,0,0,1,5,0,0,0,0,27,2,0
12,Jack Butland,1.0,eng ENG,GK,24-155,90,30,17,12,4,0,0,0,0,0,0,0,0,19,1,0
13,13 Players,,,,,990,356,291,59,15,0,1,27,27,7,4,2,1,233,6,8
