,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Jamie Vardy,9.0,eng ENG,FW,30-220,89,28,0,3,6,19,5,28,2,1,50.0,1,50.0,13,177,98,5,3,0,3,2,20,8
1,Demarai Gray,7.0,eng ENG,FW,21-052,1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
2,Shinji Okazaki,20.0,jp JPN,FW,31-125,75,23,0,1,11,11,4,23,1,0,0.0,1,100.0,12,45,23,2,1,2,1,0,14,3
3,Islam Slimani,19.0,dz ALG,FW,29-062,15,5,0,0,4,1,0,5,0,0,,0,,3,2,1,0,0,0,0,0,4,1
4,Marc Albrighton,11.0,eng ENG,LM,27-274,90,43,0,2,25,17,1,43,0,0,,0,,23,103,54,1,0,1,2,0,30,4
5,Matty James,22.0,eng ENG,CM,26-028,90,50,3,8,38,5,0,50,1,0,0.0,1,100.0,32,165,33,1,0,0,1,0,29,1
6,Wilfred Ndidi,25.0,ng NGA,CM,20-246,90,66,1,6,54,7,1,66,2,2,100.0,0,0.0,30,237,100,2,3,0,2,1,36,2
7,Riyad Mahrez,26.0,dz ALG,RM,26-179,90,64,1,4,30,30,4,64,5,2,40.0,3,60.0,44,324,105,1,3,2,4,0,45,7
8,Christian Fuchs,28.0,at AUT,LB,31-134,90,67,3,15,42,11,1,67,1,1,100.0,0,0.0,31,130,73,1,2,0,0,0,46,4
9,Harry Maguire,15.0,eng ENG,CB,24-167,90,75,7,32,44,2,2,75,1,1,100.0,0,0.0,46,376,218,1,1,0,1,1,51,0
10,Wes Morgan,5.0,jm JAM,CB,33-210,90,48,2,27,19,2,1,48,0,0,,0,,28,195,61,0,0,0,0,1,34,1
11,Danny Simpson,2.0,eng ENG,RB,30-227,90,58,3,28,21,9,0,58,1,1,100.0,0,0.0,24,137,60,2,1,0,1,0,28,1
12,Kasper Schmeichel,1.0,dk DEN,GK,30-287,90,34,26,33,1,0,0,34,0,0,,0,,18,126,102,0,0,0,0,0,15,0
13,13 Players,,,,,990,562,46,159,296,114,19,562,14,8,57.1,6,42.9,304,2017,928,16,14,5,15,5,353,32
