,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Javier Hernández,17.0,mx MEX,"FW,LW",29-079,90,30,1,2,15,13,2,30,2,0,0.0,2,100.0,13,93,16,1,0,0,0,0,18,2
1,Marko Arnautović,7.0,at AUT,LW,28-122,32,16,0,1,5,10,2,16,0,0,,0,,13,81,15,0,0,0,0,1,14,3
2,Michail Antonio,30.0,jm JAM,RW,27-144,67,25,0,2,9,15,4,25,4,4,100.0,0,0.0,15,131,6,0,2,0,0,4,21,4
3,Diafra Sakho,15.0,sn SEN,"FW,RW",27-238,23,9,1,2,4,3,2,9,0,0,,0,,4,13,7,0,0,0,0,0,6,0
4,André Ayew,20.0,gh GHA,AM,27-245,67,27,3,6,14,7,1,27,0,0,,0,,10,91,27,1,0,0,1,1,14,2
5,Edimilson Fernandes,31.0,ch SUI,"RW,AM",21-126,23,7,0,1,5,1,0,7,0,0,,0,,2,10,2,0,0,0,0,0,4,1
6,Mark Noble,16.0,eng ENG,DM,30-103,90,52,1,10,35,7,0,52,1,1,100.0,0,0.0,21,131,42,0,1,0,1,2,33,1
7,Declan Rice,41.0,eng ENG,DM,18-217,75,37,1,7,27,4,0,37,0,0,,0,,13,77,9,0,0,0,2,0,15,1
8,Pedro Obiang,14.0,gq EQG,DM,25-145,15,7,1,5,2,0,0,7,1,1,100.0,0,0.0,2,16,8,0,0,0,0,0,0,0
9,Aaron Cresswell,3.0,eng ENG,LB,27-247,90,39,4,13,18,9,0,39,0,0,,0,,15,46,10,0,1,0,0,0,19,2
10,Angelo Ogbonna,21.0,it ITA,CB,29-088,90,44,8,22,19,3,0,44,0,0,,0,,11,53,26,0,0,0,0,0,21,0
11,José Fonte,4.0,pt POR,CB,33-240,90,37,8,23,11,3,3,37,0,0,,0,,14,66,37,0,0,0,0,0,19,0
12,Pablo Zabaleta,5.0,ar ARG,RB,32-215,90,48,6,21,24,5,0,48,0,0,,0,,12,54,13,0,0,0,0,0,14,1
13,Joe Hart,25.0,eng ENG,GK,30-122,90,41,36,40,1,0,0,41,0,0,,0,,16,141,93,0,0,0,0,0,10,0
14,14 Players,,,,,932,419,70,155,189,80,14,419,8,6,75.0,2,25.0,161,1003,311,2,4,0,4,8,208,17
