,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Tomer Hemed,10.0,il ISR,FW,30-102,59,19,0,2,11,6,0,19,0,0,,0,,8,42,14,1,1,0,1,4,16,1
1,Glenn Murray,17.0,eng ENG,FW,33-321,31,6,0,1,4,1,0,6,1,1,100.0,0,0.0,5,8,3,0,0,0,0,0,4,1
2,Pascal Groß,13.0,de GER,FW,26-058,90,41,1,14,17,10,0,41,0,0,,0,,13,47,29,0,0,0,0,1,23,0
3,Izzy Brown,37.0,eng ENG,LM,20-217,23,11,1,5,5,1,0,11,1,1,100.0,0,0.0,4,16,9,0,1,0,0,0,6,0
4,Jamie Murphy,15.0,sct SCO,LM,27-349,67,13,0,5,2,6,2,13,0,0,,0,,8,66,16,1,1,0,1,1,8,2
5,Davy Pröpper,24.0,nl NED,CM,25-344,90,24,2,9,12,5,1,24,2,2,100.0,0,0.0,8,76,64,1,1,0,0,0,9,0
6,Dale Stephens,6.0,eng ENG,CM,28-061,90,27,5,9,18,0,0,27,0,0,,0,,11,41,16,0,0,0,0,1,11,0
7,Solly March,20.0,eng ENG,RM,23-023,74,30,7,19,7,4,0,30,2,2,100.0,0,0.0,14,70,20,0,0,0,0,1,12,0
8,Anthony Knockaert,11.0,fr FRA,RM,25-265,16,8,0,1,4,3,1,8,1,0,0.0,1,100.0,4,20,2,0,0,1,0,0,6,0
9,Markus Suttner,29.0,at AUT,LB,30-118,90,39,7,22,12,7,0,39,1,0,0.0,1,100.0,11,54,15,0,1,0,0,0,11,0
10,Lewis Dunk,5.0,eng ENG,CB,25-264,90,28,11,22,2,4,4,28,0,0,,0,,7,36,10,0,0,0,0,0,8,0
11,Shane Duffy,22.0,ie IRL,CB,25-223,90,24,10,18,5,1,1,24,0,0,,0,,2,36,0,0,0,0,0,0,6,0
12,Bruno,2.0,es ESP,RB,36-315,90,41,5,18,20,3,0,41,1,1,100.0,0,0.0,15,64,48,0,0,0,0,0,16,0
13,Mathew Ryan,1.0,au AUS,GK,25-126,90,32,27,32,0,0,0,32,0,0,,0,,16,161,120,0,0,0,0,0,8,0
14,14 Players,,,,,990,343,76,177,119,51,9,343,9,7,77.8,2,22.2,126,737,366,3,5,1,2,8,144,4
