,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Javier Hernández,17.0,mx MEX,FW,29-073,90,36,1,3,13,20,4,36,3,2,66.7,1,33.3,27,159,51,1,0,0,1,4,30,14
1,Marko Arnautović,27.0,at AUT,"LW,LM",28-116,90,42,0,6,17,19,2,42,1,0,0.0,1,100.0,26,89,19,1,0,0,0,2,27,6
2,André Ayew,20.0,gh GHA,"RW,RM",27-239,90,31,1,2,19,10,0,31,0,0,,0,,16,70,34,0,1,0,0,3,29,4
3,Edimilson Fernandes,31.0,ch SUI,AM,21-120,59,27,0,3,14,10,1,27,0,0,,0,,16,85,34,2,0,0,2,0,19,3
4,Diafra Sakho,15.0,sn SEN,FW,27-232,31,10,0,0,4,6,1,10,0,0,,0,,6,31,9,0,1,0,2,1,11,3
5,Pedro Obiang,14.0,gq EQG,"DM,CM",25-139,90,65,5,15,48,4,0,65,1,1,100.0,0,0.0,28,130,37,0,0,0,3,1,36,2
6,Mark Noble,16.0,eng ENG,DM,30-097,60,43,2,11,24,8,2,43,0,0,,0,,18,81,30,0,0,0,0,1,24,2
7,Declan Rice,41.0,eng ENG,CM,18-211,30,25,0,0,23,2,0,25,0,0,,0,,19,120,69,1,1,0,1,0,20,0
8,Arthur Masuaku,26.0,cd COD,LB,23-279,80,47,10,20,16,12,0,47,0,0,,0,,19,181,111,2,3,0,1,0,21,0
9,Aaron Cresswell,3.0,eng ENG,LB,27-241,10,15,1,1,8,6,1,15,0,0,,0,,7,23,9,1,0,0,0,0,11,1
10,Angelo Ogbonna,21.0,it ITA,CB,29-082,90,50,6,24,25,1,0,50,0,0,,0,,35,192,141,0,0,0,0,0,33,0
11,Winston Reid,2.0,nz NZL,CB,29-041,90,60,10,38,22,1,0,60,0,0,,0,,38,142,70,0,1,0,0,0,33,0
12,Pablo Zabaleta,5.0,ar ARG,RB,32-209,90,54,11,26,18,10,0,54,0,0,,0,,21,101,57,1,1,0,0,0,22,1
13,Joe Hart,25.0,eng ENG,GK,30-116,90,36,30,36,0,0,0,36,0,0,,0,,11,79,56,0,0,0,0,0,11,0
14,14 Players,,,,,990,541,77,185,251,109,11,541,5,3,60.0,2,40.0,287,1483,727,9,8,0,10,12,327,36
