,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Manolo Gabbiadini,20.0,it ITA,FW,25-259,68,12,15,80.0,109,1,9,9,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
1,Charlie Austin,10.0,eng ENG,FW,28-038,22,5,7,71.4,99,22,1,2,50.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
2,Nathan Redmond,22.0,eng ENG,LW,23-159,90,40,46,87.0,675,206,17,18,94.4,17,19,89.5,3,4,75.0,0,0.3,0.4,5,2,6,1,10
3,James Ward-Prowse,16.0,eng ENG,RW,22-284,70,25,35,71.4,432,73,10,11,90.9,12,17,70.6,2,5,40.0,0,0.1,0.1,3,2,1,0,3
4,Sofiane Boufal,19.0,ma MAR,RW,23-329,20,15,20,75.0,176,31,9,10,90.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0
5,Dušan Tadić,11.0,rs SRB,AM,28-265,90,31,47,66.0,582,176,17,21,81.0,7,14,50.0,6,7,85.7,0,0.1,0.1,2,3,6,3,9
6,Steven Davis,8.0,nir NIR,DM,32-223,90,68,72,94.4,1155,273,29,29,100.0,33,36,91.7,5,6,83.3,0,0.1,0.1,2,10,1,1,15
7,Oriol Romeu,14.0,es ESP,DM,25-322,90,70,80,87.5,1409,370,29,35,82.9,30,32,93.8,11,13,84.6,0,0.2,0.2,5,12,0,0,12
8,Ryan Bertrand,21.0,eng ENG,LB,28-007,85,65,77,84.4,833,273,48,54,88.9,13,16,81.3,2,4,50.0,0,0.7,0.3,4,4,3,2,4
9,Sam McQueen,38.0,eng ENG,LB,22-187,5,6,9,66.7,74,57,5,5,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,1,2,0,0,1
10,Maya Yoshida,3.0,jp JPN,CB,28-353,90,40,52,76.9,700,325,21,24,87.5,14,18,77.8,5,8,62.5,0,0.0,0.0,0,1,0,0,1
11,Jack Stephens,5.0,eng ENG,CB,23-197,90,31,37,83.8,579,176,12,12,100.0,17,18,94.4,1,5,20.0,0,0.1,0.1,1,0,0,0,2
12,Cédric Soares,2.0,pt POR,RB,25-346,90,52,68,76.5,690,294,35,35,100.0,14,19,73.7,1,9,11.1,0,0.0,0.1,0,5,2,0,9
13,Fraser Forster,44.0,eng ENG,GK,29-148,90,8,15,53.3,203,178,2,2,100.0,4,4,100.0,2,9,22.2,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,468,580,80.7,7716,2455,244,267,91.4,169,204,82.8,39,74,52.7,0,1.7,1.5,23,42,19,7,66
