,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Sandro Ramírez,9.0,es ESP,"FW,LW",22-034,76,22,21,1,0,0,0,1,0,1,0,0,0,13,0,1
1,Kevin Mirallas,11.0,be BEL,"LW,FW",29-311,14,8,7,1,0,0,0,3,0,1,1,0,0,4,0,2
2,Davy Klaassen,20.0,nl NED,"AM,CM",24-172,59,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0
3,Tom Davies,26.0,eng ENG,CM,19-043,31,15,15,0,0,0,0,0,0,0,0,0,0,11,0,0
4,Wayne Rooney,10.0,eng ENG,"AM,RW",31-292,90,58,50,8,2,1,0,8,1,4,2,2,0,48,0,0
5,Idrissa Gana Gueye,17.0,sn SEN,"CM,RM",27-320,90,70,65,4,2,0,0,1,2,0,0,0,0,59,1,0
6,Morgan Schneiderlin,2.0,fr FRA,"CM,LM",27-277,90,55,54,1,1,0,0,0,0,0,0,0,0,48,0,0
7,Leighton Baines,3.0,eng ENG,"WB,LB",32-244,90,35,28,7,0,0,0,0,7,0,0,0,0,24,0,4
8,Dominic Calvert-Lewin,29.0,eng ENG,"WB,FW,LW",20-149,90,25,21,4,0,0,0,1,4,0,0,0,0,19,0,1
9,Phil Jagielka,6.0,eng ENG,CB,34-360,90,67,62,5,3,0,4,0,2,0,0,0,0,50,0,0
10,Ashley Williams,5.0,wls WAL,CB,32-354,45,37,36,0,0,0,0,0,0,0,0,0,0,36,1,0
11,Cuco Martina,15.0,cw CUW,"RB,CB",27-321,45,30,24,6,0,0,0,3,6,0,0,0,0,21,0,1
12,Michael Keane,4.0,eng ENG,CB,24-213,90,69,65,4,2,0,1,1,2,0,0,0,0,57,0,1
13,Jordan Pickford,1.0,eng ENG,GK,23-158,90,33,18,15,5,0,0,0,0,0,0,0,0,17,0,0
14,14 Players,,,,,990,545,487,56,15,1,5,18,24,6,3,2,0,425,2,10
