,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Tomer Hemed,10.0,il ISR,FW,30-102,59,5,15,33.3,69,20,2,7,28.6,3,7,42.9,0,0,,0,0.0,0.0,0,0,0,0,0
1,Glenn Murray,17.0,eng ENG,FW,33-321,31,3,4,75.0,41,0,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
2,Pascal Groß,13.0,de GER,FW,26-058,90,15,34,44.1,253,129,7,12,58.3,2,4,50.0,3,9,33.3,0,0.1,0.1,1,2,0,0,3
3,Izzy Brown,37.0,eng ENG,LM,20-217,23,7,9,77.8,57,28,7,8,87.5,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
4,Jamie Murphy,15.0,sct SCO,LM,27-349,67,6,8,75.0,111,0,3,5,60.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
5,Davy Pröpper,24.0,nl NED,CM,25-344,90,8,15,53.3,129,42,3,5,60.0,3,6,50.0,1,3,33.3,0,0.0,0.0,0,2,0,0,1
6,Dale Stephens,6.0,eng ENG,CM,28-061,90,13,19,68.4,222,95,5,8,62.5,6,8,75.0,1,2,50.0,0,0.0,0.0,0,2,1,0,1
7,Solly March,20.0,eng ENG,RM,23-023,74,16,20,80.0,272,144,7,8,87.5,6,7,85.7,2,3,66.7,0,0.0,0.0,0,0,0,0,0
8,Anthony Knockaert,11.0,fr FRA,RM,25-265,16,3,6,50.0,36,22,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
9,Markus Suttner,29.0,at AUT,LB,30-118,90,17,28,60.7,247,133,8,11,72.7,7,11,63.6,0,3,0.0,0,0.0,0.0,0,0,0,0,0
10,Lewis Dunk,5.0,eng ENG,CB,25-264,90,8,12,66.7,252,131,2,2,100.0,3,3,100.0,3,6,50.0,0,0.0,0.0,1,2,0,0,0
11,Shane Duffy,22.0,ie IRL,CB,25-223,90,8,12,66.7,162,48,3,4,75.0,4,5,80.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0
12,Bruno,2.0,es ESP,RB,36-315,90,21,35,60.0,345,180,13,16,81.3,6,9,66.7,2,7,28.6,0,0.0,0.0,0,0,0,0,0
13,Mathew Ryan,1.0,au AUS,GK,25-126,90,16,31,51.6,805,713,0,0,,3,3,100.0,13,27,48.1,0,0.0,0.0,0,1,0,0,0
14,14 Players,,,,,990,146,248,58.9,3001,1685,64,91,70.3,48,68,70.6,26,65,40.0,0,0.1,0.2,2,9,1,0,5
