,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Eric Maxim Choupo-Moting,10.0,cm CMR,"AM,FW",28-149,90,33,0,7,17,11,3,33,3,0,0.0,3,100.0,15,162,46,1,0,1,3,1,20,3
1,Jesé,11.0,es ESP,AM,24-174,70,25,1,6,9,12,3,25,3,3,100.0,0,0.0,15,169,130,4,2,2,1,1,15,3
2,Ramadan Sobhi,32.0,eg EGY,AM,20-208,20,5,0,3,3,0,0,5,0,0,,0,,3,13,6,0,0,0,1,0,3,0
3,Xherdan Shaqiri,22.0,ch SUI,AM,25-313,24,13,0,2,9,2,0,13,1,1,100.0,0,0.0,11,70,3,0,0,0,2,3,14,2
4,Saido Berahino,9.0,bi BDI,FW,24-015,66,15,0,3,7,5,1,15,1,0,0.0,1,100.0,7,38,10,0,0,0,0,1,8,2
5,Joe Allen,4.0,wls WAL,CM,27-158,90,25,3,9,10,6,0,25,1,1,100.0,0,0.0,9,65,31,0,0,0,1,1,8,1
6,Darren Fletcher,24.0,sct SCO,CM,33-199,90,37,4,11,23,7,0,37,0,0,,0,,11,76,41,2,3,0,0,1,16,1
7,Erik Pieters,3.0,nl NED,WB,29-012,88,36,3,12,14,10,0,36,1,0,0.0,1,100.0,14,66,30,1,2,0,1,0,18,3
8,Bruno Martins Indi,15.0,nl NED,WB,25-192,2,2,2,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
9,Mame Biram Diouf,18.0,sn SEN,WB,29-246,90,28,7,12,7,10,1,28,2,2,100.0,0,0.0,11,98,38,0,1,0,1,2,11,1
10,Geoff Cameron,20.0,us USA,CB,32-039,90,29,4,15,13,1,1,29,0,0,,0,,13,71,19,0,0,0,0,0,12,0
11,Ryan Shawcross,17.0,eng ENG,CB,29-319,90,23,10,15,7,1,1,23,0,0,,0,,4,11,0,0,0,0,0,0,4,0
12,Kurt Zouma,6.0,fr FRA,CB,22-296,90,35,7,21,13,1,0,35,0,0,,0,,8,41,28,0,0,0,0,0,10,0
13,Jack Butland,1.0,eng ENG,GK,24-162,90,50,44,50,0,0,0,50,0,0,,0,,20,237,142,0,0,0,0,0,7,0
14,14 Players,,,,,990,356,85,168,132,66,10,356,12,7,58.3,5,41.7,141,1117,524,8,8,3,10,10,146,16
