,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Alexandre Lacazette,9.0,fr FRA,FW,26-083,77,29,39,74.4,366,99,20,23,87.0,7,10,70.0,1,2,50.0,0,0.0,0.1,1,1,1,0,4
1,Theo Walcott,14.0,eng ENG,RW,28-156,13,3,3,100.0,40,10,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
2,Danny Welbeck,23.0,eng ENG,"AM,LW",26-266,90,19,24,79.2,211,35,14,18,77.8,4,4,100.0,0,0,,0,0.0,0.0,0,2,1,0,2
3,Mesut Özil,11.0,de GER,AM,28-308,90,94,103,91.3,1355,319,50,53,94.3,39,40,97.5,2,5,40.0,0,0.5,0.4,4,10,3,0,15
4,Granit Xhaka,29.0,ch SUI,CM,24-326,78,86,106,81.1,1423,464,40,44,90.9,37,40,92.5,6,19,31.6,0,0.1,0.1,1,11,3,0,17
5,Alex Iwobi,17.0,ng NGA,DM,21-108,12,22,24,91.7,351,116,11,11,100.0,8,10,80.0,2,2,100.0,0,0.0,0.0,0,4,1,0,6
6,Aaron Ramsey,8.0,wls WAL,"CM,DM",26-236,90,74,85,87.1,1175,318,44,48,91.7,23,27,85.2,7,9,77.8,0,0.0,0.1,0,9,4,1,12
7,Héctor Bellerín,24.0,es ESP,"WB,LB",22-153,90,66,77,85.7,965,187,37,42,88.1,25,28,89.3,2,2,100.0,0,0.0,0.1,0,4,0,0,6
8,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",24-004,90,52,63,82.5,1038,281,19,19,100.0,25,29,86.2,8,11,72.7,0,0.4,0.5,3,4,6,2,8
9,Sead Kolašinac,31.0,ba BIH,CB,24-060,65,52,58,89.7,835,283,27,29,93.1,23,26,88.5,2,3,66.7,0,0.0,0.0,1,6,0,0,5
10,Olivier Giroud,12.0,fr FRA,"FW,CB",30-323,25,3,7,42.9,54,28,1,3,33.3,2,2,100.0,0,0,,0,0.1,0.2,1,0,2,1,1
11,Nacho Monreal,18.0,es ESP,CB,31-174,90,76,83,91.6,1321,523,27,31,87.1,44,45,97.8,5,6,83.3,0,0.1,0.1,1,1,1,1,2
12,Shkodran Mustafi,20.0,de GER,CB,25-124,90,76,89,85.4,1371,516,27,30,90.0,43,44,97.7,4,10,40.0,0,0.1,0.1,1,5,2,2,6
13,Petr Čech,33.0,cz CZE,GK,35-091,90,22,24,91.7,559,444,0,0,,17,17,100.0,5,7,71.4,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,674,785,85.9,11064,3623,319,353,90.4,298,323,92.3,44,76,57.9,0,1.3,1.8,13,58,24,7,85
