,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Jamie Vardy,9.0,eng ENG,FW,30-212,90,2,0,0,0,2,2,0,0,20,1,0,0,0.9,0.9,0.0,0,0,9,12,75.0,1,11,1,1,0
1,Shinji Okazaki,20.0,jp JPN,FW,31-117,71,1,0,0,0,2,1,0,0,28,1,0,0,0.5,0.5,0.0,0,0,10,22,45.5,1,13,0,1,0
2,Daniel Amartey,18.0,gh GHA,CM,22-233,19,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,2,0,0,0
3,Marc Albrighton,11.0,eng ENG,LM,27-266,87,0,1,0,0,0,0,0,0,37,1,0,2,0.0,0.0,0.7,2,2,16,25,64.0,3,17,1,1,0
4,Demarai Gray,7.0,eng ENG,LM,21-044,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0
5,Wilfred Ndidi,25.0,ng NGA,"CM,DM",20-238,90,0,0,0,0,0,0,0,0,35,3,2,2,0.0,0.0,0.0,0,0,13,22,59.1,2,9,0,1,0
6,Matty James,22.0,eng ENG,CM,26-020,81,0,0,0,0,0,0,0,0,25,4,2,1,0.0,0.0,0.0,0,0,11,16,68.8,2,7,0,0,0
7,Kelechi Iheanacho,8.0,ng NGA,FW,20-312,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
8,Riyad Mahrez,26.0,dz ALG,RM,26-171,90,0,1,0,0,2,0,0,0,53,2,2,3,0.1,0.1,0.2,2,2,24,34,70.6,0,28,1,6,2
9,Christian Fuchs,28.0,at AUT,LB,31-126,90,0,0,0,0,0,0,0,0,57,1,1,3,0.0,0.0,0.1,1,0,26,49,53.1,2,22,2,1,0
10,Harry Maguire,15.0,eng ENG,CB,24-159,90,0,1,0,0,0,0,0,0,36,2,2,3,0.0,0.0,0.4,1,1,18,26,69.2,1,15,2,2,1
11,Wes Morgan,5.0,jm JAM,CB,33-202,90,0,0,0,0,0,0,1,0,26,0,1,2,0.0,0.0,0.0,0,0,12,16,75.0,3,3,0,1,1
12,Danny Simpson,2.0,eng ENG,RB,30-219,90,0,0,0,0,0,0,0,0,54,0,1,2,0.0,0.0,0.0,0,0,29,44,65.9,1,13,1,2,1
13,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,17,37,45.9,0,9,0,0,0
14,14 Players,,,,,990,3,3,0,0,6,3,1,0,427,17,11,18,1.5,1.5,1.4,6,5,192,315,61.0,16,150,8,16,5
