,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Álvaro Morata,9.0,es ESP,FW,24-301,78,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,2,0
1,Michy Batshuayi,23.0,be BEL,FW,23-322,12,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0
2,Willian,22.0,br BRA,FW,29-011,77,3,3,1,2,0,0,3,0.0,3,0,0,0,0,3,1,0
3,Pedro,11.0,es ESP,FW,30-023,13,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
4,N'Golo Kanté,7.0,fr FRA,DM,26-144,90,6,4,1,5,0,3,4,75.0,1,2,0,2,1,7,2,0
5,David Luiz,30.0,br BRA,DM,30-120,90,5,5,3,1,1,3,5,60.0,2,3,0,3,1,6,4,0
6,Tiemoué Bakayoko,14.0,fr FRA,DM,23-003,90,1,1,1,0,0,0,2,0.0,2,0,0,0,3,4,3,0
7,Marcos Alonso,3.0,es ESP,WB,26-235,90,1,1,1,0,0,1,1,100.0,0,3,1,2,1,2,8,0
8,Victor Moses,15.0,ng NGA,WB,26-251,90,4,3,3,1,0,0,1,0.0,1,2,1,1,0,4,3,0
9,Antonio Rüdiger,2.0,de GER,CB,24-170,90,2,1,2,0,0,2,3,66.7,1,1,0,1,1,3,5,0
10,Andreas Christensen,27.0,dk DEN,CB,21-132,90,4,1,4,0,0,1,2,50.0,1,3,2,1,1,5,9,1
11,César Azpilicueta,28.0,es ESP,CB,27-357,90,3,1,1,2,0,1,3,33.3,2,3,2,1,2,5,7,0
12,Thibaut Courtois,13.0,be BEL,GK,25-101,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,31,22,18,12,1,11,27,40.7,16,20,6,14,10,41,44,1
