,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Gabriel Jesus,33.0,br BRA,FW,20-131,77,26,26,0,0,0,0,1,0,0,0,0,0,20,0,1
1,Raheem Sterling,7.0,eng ENG,FW,22-247,13,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
2,Sergio Agüero,10.0,ar ARG,FW,29-071,82,21,20,1,0,0,0,2,0,0,0,0,0,14,0,1
3,Bernardo Silva,20.0,pt POR,FW,23-002,8,15,14,1,1,0,0,1,0,0,0,0,0,12,0,0
4,Danilo,3.0,br BRA,LW,26-028,67,48,42,6,0,0,0,3,6,0,0,0,0,40,0,1
5,Leroy Sané,19.0,de GER,LW,21-213,23,14,12,2,0,0,0,1,1,1,0,0,0,13,0,0
6,Kyle Walker,2.0,eng ENG,RW,27-076,90,79,70,9,0,0,2,3,9,0,0,0,0,70,0,1
7,David Silva,21.0,es ESP,CM,31-216,90,107,104,3,0,2,0,6,0,3,0,3,0,95,0,2
8,Kevin De Bruyne,17.0,be BEL,CM,26-045,90,90,81,9,2,1,3,8,1,6,1,2,0,73,0,0
9,Fernandinho,25.0,br BRA,DM,32-100,90,102,100,1,1,0,2,2,0,0,0,0,0,86,1,2
10,Nicolás Otamendi,30.0,ar ARG,CB,29-181,90,102,100,2,2,0,2,0,0,0,0,0,0,94,0,1
11,John Stones,5.0,eng ENG,CB,23-076,90,99,97,2,2,0,1,0,0,0,0,0,0,96,0,0
12,Vincent Kompany,4.0,be BEL,CB,31-124,90,87,87,0,0,0,0,0,0,0,0,0,0,79,0,0
13,Ederson,31.0,br BRA,GK,23-360,90,24,18,6,2,0,0,0,0,0,0,0,0,20,0,0
14,14 Players,,,,,990,820,777,42,10,3,10,27,17,10,1,5,0,718,1,9
