,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Steve Mounié,24.0,bj BEN,FW,22-325,90,33,2,2,21,10,2,33,1,0,0.0,1,100.0,19,50,14,0,0,0,2,1,26,4
1,Rajiv van La Parra,17.0,nl NED,LW,26-077,68,36,1,6,13,18,1,36,8,2,25.0,6,75.0,27,273,92,5,5,0,2,3,25,7
2,Collin Quaner,23.0,de GER,"RW,LM",26-063,22,13,0,3,2,9,0,13,2,0,0.0,2,100.0,9,35,12,1,1,0,1,0,9,1
3,Elias Kachunga,9.0,cd COD,"RW,LW",25-120,71,32,1,4,16,13,1,32,0,0,,0,,17,130,41,1,2,0,1,2,15,7
4,Kasey Palmer,45.0,jm JAM,"AM,RM",20-284,19,8,0,1,6,1,1,8,0,0,,0,,3,5,2,0,0,0,2,0,3,1
5,Tom Ince,22.0,eng ENG,"AM,LW",25-202,89,44,1,7,15,23,2,44,2,1,50.0,1,50.0,26,132,95,3,2,0,0,0,26,7
6,Michael Hefele,44.0,de GER,CB,26-353,1,3,1,3,0,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0
7,Philip Billing,8.0,dk DEN,"DM,CM",21-070,90,71,3,25,41,8,0,71,1,1,100.0,0,0.0,37,221,118,2,3,0,0,0,40,1
8,Aaron Mooy,10.0,au AUS,"DM,CM",26-339,90,80,4,16,37,27,1,80,2,1,50.0,1,50.0,45,273,115,3,2,1,2,1,47,0
9,Chris Löwe,15.0,de GER,LB,28-126,90,77,8,29,37,12,0,77,0,0,,0,,39,230,124,3,3,0,0,0,43,1
10,Christopher Schindler,26.0,de GER,CB,27-113,90,91,8,60,29,2,2,91,0,0,,0,,51,171,59,0,0,0,1,0,57,0
11,Mathias Jørgensen,25.0,dk DEN,CB,27-119,90,50,2,21,29,0,0,50,0,0,,0,,31,162,107,1,0,0,1,0,33,0
12,Tommy Smith,2.0,eng ENG,RB,25-128,90,58,3,17,28,14,0,58,0,0,,0,,26,109,32,1,1,0,1,0,27,2
13,Jonas Lössl,1.0,dk DEN,GK,28-200,90,42,33,42,0,0,0,42,0,0,,0,,20,150,118,0,0,0,0,0,20,0
14,14 Players,,,,,990,638,67,236,274,137,10,638,16,5,31.3,11,68.8,350,1941,929,20,19,1,13,7,371,31
