,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Romelu Lukaku,9.0,be BEL,FW,24-098,90,25,0,0,10,16,6,25,2,1,50.0,1,50.0,17,116,55,2,1,1,1,1,21,6
1,Marcus Rashford,19.0,eng ENG,LW,19-292,74,30,0,0,9,22,4,30,8,5,62.5,3,37.5,19,253,106,5,3,1,3,1,26,5
2,Anthony Martial,11.0,fr FRA,"LW,LM",21-257,16,18,0,1,6,11,1,18,3,1,33.3,2,66.7,12,65,22,1,0,1,1,0,17,0
3,Juan Mata,8.0,es ESP,RW,29-113,74,60,0,2,29,29,2,60,3,2,66.7,1,33.3,41,182,68,0,2,0,0,0,49,7
4,Marouane Fellaini,27.0,be BEL,"RW,CM",29-270,16,17,1,5,12,0,0,17,0,0,,0,,9,27,21,0,0,0,1,0,13,0
5,Henrikh Mkhitaryan,22.0,am ARM,AM,28-210,84,71,0,5,32,36,0,71,4,2,50.0,2,50.0,48,266,151,5,8,0,1,1,61,7
6,Ander Herrera,21.0,es ESP,RM,28-005,6,8,0,3,4,1,0,8,0,0,,0,,4,2,2,0,0,0,0,0,7,0
7,Nemanja Matić,31.0,rs SRB,DM,29-018,90,100,1,16,72,13,2,100,2,1,50.0,1,50.0,56,313,126,1,3,0,3,0,68,0
8,Paul Pogba,6.0,fr FRA,"DM,CM",24-157,90,91,1,8,55,30,5,91,2,1,50.0,1,50.0,51,265,176,5,4,1,3,2,78,3
9,Daley Blind,17.0,nl NED,LB,27-163,90,91,3,11,55,25,0,91,1,0,0.0,1,100.0,47,167,84,1,3,0,0,2,62,6
10,Phil Jones,4.0,eng ENG,CB,25-179,90,62,7,35,27,1,1,62,0,0,,0,,28,70,27,0,0,0,0,0,35,0
11,Eric Bailly,3.0,ci CIV,CB,23-129,90,62,7,26,34,2,1,62,0,0,,0,,29,154,85,0,0,0,0,0,38,0
12,Antonio Valencia,25.0,ec ECU,RB,32-015,90,98,2,20,56,23,0,98,0,0,,0,,47,248,171,3,1,0,1,2,58,3
13,David de Gea,1.0,es ESP,GK,26-285,90,26,23,25,1,0,0,26,0,0,,0,,11,76,58,0,0,0,0,0,7,0
14,14 Players,,,,,990,759,45,157,402,209,22,759,25,13,52.0,12,48.0,419,2204,1152,23,25,4,14,9,540,37
