,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Sandro Ramírez,9.0,es ESP,"FW,LW",22-034,76,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0.0
1,Kevin Mirallas,11.0,be BEL,"LW,FW",29-311,14,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,
2,Davy Klaassen,20.0,nl NED,"AM,CM",24-172,59,0,0,0,2,0,1,0,0,1,0,0,0,3,0,1,0.0
3,Tom Davies,26.0,eng ENG,CM,19-043,31,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0.0
4,Wayne Rooney,10.0,eng ENG,"AM,RW",31-292,90,0,0,0,2,3,0,8,0,1,0,0,0,5,1,0,100.0
5,Idrissa Gana Gueye,17.0,sn SEN,"CM,RM",27-320,90,0,0,0,1,3,0,1,3,4,0,0,0,4,0,1,0.0
6,Morgan Schneiderlin,2.0,fr FRA,"CM,LM",27-277,90,0,0,0,2,1,0,0,6,3,0,0,0,8,2,3,40.0
7,Leighton Baines,3.0,eng ENG,"WB,LB",32-244,90,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,50.0
8,Dominic Calvert-Lewin,29.0,eng ENG,"WB,FW,LW",20-149,90,0,0,0,1,0,1,1,0,0,0,0,0,4,3,8,27.3
9,Phil Jagielka,6.0,eng ENG,CB,34-360,90,0,0,0,0,1,0,0,3,0,0,0,0,3,2,3,40.0
10,Ashley Williams,5.0,wls WAL,CB,32-354,45,0,0,0,2,0,0,0,3,0,0,0,0,1,3,0,100.0
11,Cuco Martina,15.0,cw CUW,"RB,CB",27-321,45,1,0,0,1,2,0,3,1,1,0,0,0,2,0,2,0.0
12,Michael Keane,4.0,eng ENG,CB,24-213,90,0,0,0,0,0,0,1,2,1,0,0,0,3,3,1,75.0
13,Jordan Pickford,1.0,eng ENG,GK,23-158,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,100.0
14,14 Players,,,,,990,1,0,0,13,10,2,18,19,12,0,0,0,40,19,23,45.2
