,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Dwight Gayle,9.0,eng ENG,FW,26-300,75,0,0,0,0,2,1,0,0,15,1,0,0,0.1,0.1,0.0,0,0,4,11,36.4,0,7,1,0,0
1,Mikel Merino,23.0,es ESP,CM,21-052,15,0,0,0,0,0,0,0,0,20,0,1,4,0.0,0.0,0.0,1,0,12,15,80.0,2,11,0,0,0
2,Christian Atsu,30.0,gh GHA,"LW,LM,AM",25-215,90,0,0,0,0,2,1,0,0,28,0,0,0,0.5,0.5,0.0,0,0,8,18,44.4,2,19,4,4,1
3,Matt Ritchie,11.0,sct SCO,"RW,RM,WB",27-337,90,0,0,0,0,0,0,1,0,51,2,2,4,0.0,0.0,0.0,1,0,26,35,74.3,3,21,0,1,1
4,Ayoze Pérez,17.0,es ESP,"AM,CM,FW",24-015,90,0,0,0,0,0,0,0,0,29,2,1,2,0.0,0.0,0.1,1,0,8,15,53.3,2,16,2,1,1
5,Isaac Hayden,14.0,eng ENG,"DM,CM",22-144,90,0,0,0,0,0,0,0,0,38,1,3,1,0.0,0.0,0.0,1,0,22,29,75.9,2,18,1,0,0
6,Jonjo Shelvey,8.0,eng ENG,DM,25-167,47,0,0,0,0,0,0,0,1,17,1,1,0,0.0,0.0,0.0,0,0,6,13,46.2,0,7,0,0,0
7,Paul Dummett,3.0,wls WAL,LB,25-321,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,6,6,100.0,2,2,0,0,0
8,Jamaal Lascelles,6.0,eng ENG,CB,23-275,84,0,0,0,0,0,0,0,0,31,0,0,3,0.0,0.0,0.0,1,0,14,23,60.9,0,13,0,0,0
9,Ciaran Clark,2.0,ie IRL,"LB,CB",27-321,90,0,0,0,0,1,0,0,0,51,2,0,0,0.1,0.1,0.0,0,0,27,39,69.2,1,25,1,0,0
10,Florian Lejeune,20.0,fr FRA,CB,26-085,33,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,3,0,0,0
11,Chancel Mbemba,18.0,cd COD,CB,23-005,57,0,0,0,0,0,0,0,0,24,1,0,2,0.0,0.0,0.0,1,0,13,14,92.9,0,10,0,0,0
12,Javier Manquillo,19.0,es ESP,"RB,WB",23-100,90,0,0,0,0,1,0,0,0,46,2,0,1,0.0,0.0,0.5,3,0,22,34,64.7,2,17,2,1,1
13,Rob Elliot,1.0,ie IRL,GK,31-105,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,12,34,35.3,0,20,0,0,0
14,14 Players,,,,,947,0,0,0,0,6,2,1,1,403,12,8,17,0.8,0.8,0.7,10,0,186,296,62.8,17,189,11,7,4
