,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Steve Mounié,24.0,bj BEN,FW,22-325,90,1,0,0,2,3,4,0,1,0,0,0,0,1,8,3,72.7
1,Rajiv van La Parra,17.0,nl NED,LW,26-077,68,0,0,0,3,0,0,4,1,0,0,0,0,7,0,0,
2,Collin Quaner,23.0,de GER,"RW,LM",26-063,22,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,100.0
3,Elias Kachunga,9.0,cd COD,"RW,LW",25-120,71,0,0,0,2,0,0,1,0,3,0,0,0,7,1,3,25.0
4,Kasey Palmer,45.0,jm JAM,"AM,RM",20-284,19,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0
5,Tom Ince,22.0,eng ENG,"AM,LW",25-202,89,0,0,0,0,0,0,3,1,1,0,0,0,7,0,1,0.0
6,Michael Hefele,44.0,de GER,CB,26-353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
7,Philip Billing,8.0,dk DEN,"DM,CM",21-070,90,1,0,0,3,3,0,2,2,1,0,0,0,8,4,0,100.0
8,Aaron Mooy,10.0,au AUS,"DM,CM",26-339,90,0,0,0,0,2,0,5,1,1,0,0,0,6,0,0,
9,Chris Löwe,15.0,de GER,LB,28-126,90,0,0,0,1,0,0,3,2,3,0,0,0,4,0,1,0.0
10,Christopher Schindler,26.0,de GER,CB,27-113,90,0,0,0,0,1,0,0,5,4,0,0,0,4,4,0,100.0
11,Mathias Jørgensen,25.0,dk DEN,CB,27-119,90,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,50.0
12,Tommy Smith,2.0,eng ENG,RB,25-128,90,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,100.0
13,Jonas Lössl,1.0,dk DEN,GK,28-200,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,3,0,0,13,10,4,20,18,13,0,0,0,53,23,11,67.6
