,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Stefano Okaka,33.0,it ITA,FW,28-003,62,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
1,Andre Gray,18.0,jm JAM,FW,26-047,28,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
2,Roberto Pereyra,37.0,ar ARG,LW,26-217,48,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
3,Richarlison,11.0,br BRA,LW,20-094,42,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
4,Nordin Amrabat,7.0,ma MAR,RW,30-134,90,3,1,1,2,0,1,1,100.0,0,0,0,0,0,3,1,0
5,Nathaniel Chalobah,14.0,eng ENG,LM,22-243,90,2,1,1,1,0,0,0,,0,0,0,0,1,3,0,0
6,Abdoulaye Doucouré,16.0,ml MLI,CM,24-223,90,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,2,0
7,Tom Cleverley,8.0,eng ENG,RM,28-000,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
8,José Holebas,25.0,gr GRE,LB,33-046,90,5,2,3,2,0,3,5,60.0,2,2,0,2,3,8,8,1
9,Miguel Britos,3.0,uy URU,CB,32-026,90,1,1,1,0,0,0,0,,0,3,0,3,0,1,5,0
10,Younès Kaboul,4.0,fr FRA,CB,31-220,90,3,2,0,3,0,0,0,,0,3,1,2,1,4,10,0
11,Daryl Janmaat,2.0,nl NED,RB,28-021,17,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0
12,Kiko Femenía,21.0,es ESP,RB,26-191,73,1,1,1,0,0,1,2,50.0,1,1,0,1,2,3,1,0
13,Heurelho Gomes,1.0,br BRA,GK,36-178,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
14,14 Players,,,,,990,19,12,7,11,1,5,11,45.5,6,15,1,14,11,30,28,1
