,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Glenn Murray,17.0,eng ENG,FW,33-328,65,14,13,1,1,0,0,0,0,0,0,0,0,12,0,0
1,Tomer Hemed,10.0,il ISR,FW,30-109,25,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
2,Pascal Groß,13.0,de GER,FW,26-065,61,26,23,3,2,0,0,3,0,1,0,1,0,17,0,1
3,Anthony Knockaert,11.0,fr FRA,"RM,FW",25-272,29,17,15,2,1,0,0,2,0,1,0,1,0,12,0,0
4,Jamie Murphy,15.0,sct SCO,LM,27-356,90,35,34,1,1,0,1,2,0,0,0,0,0,29,0,4
5,Davy Pröpper,24.0,nl NED,CM,25-351,90,65,64,1,1,0,3,0,0,0,0,0,0,54,0,1
6,Dale Stephens,6.0,eng ENG,CM,28-068,90,73,73,0,0,0,0,0,0,0,0,0,0,62,0,0
7,Solly March,20.0,eng ENG,"RM,FW",23-030,90,46,40,5,0,0,0,3,2,0,0,0,0,37,1,1
8,Markus Suttner,29.0,at AUT,LB,30-125,90,56,41,15,1,0,1,3,14,0,0,0,0,44,0,0
9,Lewis Dunk,5.0,eng ENG,CB,25-271,90,55,54,0,0,0,3,0,0,0,0,0,0,42,1,0
10,Shane Duffy,22.0,ie IRL,CB,25-230,90,62,62,0,0,0,0,0,0,0,0,0,0,53,0,0
11,Bruno,2.0,es ESP,RB,36-322,90,81,75,6,0,0,1,4,6,0,0,0,0,72,0,0
12,Mathew Ryan,1.0,au AUS,GK,25-133,90,39,28,11,2,0,0,0,0,0,0,0,0,26,0,0
13,13 Players,,,,,990,573,526,45,9,0,9,17,22,2,0,2,0,463,2,7
