,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Dwight Gayle,9.0,eng ENG,FW,26-300,75,15,0,0,8,7,2,15,0,0,,0,,7,32,16,1,0,0,1,0,11,4
1,Mikel Merino,23.0,es ESP,CM,21-052,15,20,0,6,13,1,0,20,0,0,,0,,11,45,9,0,0,0,0,0,14,0
2,Christian Atsu,30.0,gh GHA,"LW,LM,AM",25-215,90,28,1,6,6,17,5,28,4,1,25.0,3,75.0,19,224,132,4,5,3,1,5,18,2
3,Matt Ritchie,11.0,sct SCO,"RW,RM,WB",27-337,90,51,1,10,24,17,0,51,1,1,100.0,0,0.0,21,118,48,0,0,0,1,0,23,3
4,Ayoze Pérez,17.0,es ESP,"AM,CM,FW",24-015,90,29,1,7,13,10,2,29,1,1,100.0,0,0.0,16,155,95,2,3,0,3,3,13,2
5,Isaac Hayden,14.0,eng ENG,"DM,CM",22-144,90,38,2,11,21,6,1,38,0,0,,0,,18,77,20,1,0,1,0,4,20,1
6,Jonjo Shelvey,8.0,eng ENG,DM,25-167,47,17,2,8,4,5,0,17,0,0,,0,,7,27,13,0,0,0,0,1,4,0
7,Paul Dummett,3.0,wls WAL,LB,25-321,6,6,0,1,4,1,0,6,0,0,,0,,2,3,0,0,0,0,0,0,2,0
8,Jamaal Lascelles,6.0,eng ENG,CB,23-275,84,31,8,19,10,2,1,31,0,0,,0,,13,50,17,0,0,0,0,0,11,0
9,Ciaran Clark,2.0,ie IRL,"LB,CB",27-321,90,51,5,28,12,11,1,51,0,0,,0,,25,117,47,1,0,0,1,0,25,0
10,Florian Lejeune,20.0,fr FRA,CB,26-085,33,12,2,7,4,1,0,12,0,0,,0,,3,9,2,0,0,0,0,0,5,0
11,Chancel Mbemba,18.0,cd COD,CB,23-005,57,24,5,17,5,2,0,24,0,0,,0,,10,51,23,0,0,0,0,0,8,1
12,Javier Manquillo,19.0,es ESP,"RB,WB",23-100,90,46,8,18,18,12,2,46,1,1,100.0,0,0.0,17,126,68,2,2,0,1,0,19,4
13,Rob Elliot,1.0,ie IRL,GK,31-105,90,35,32,35,0,0,0,35,0,0,,0,,20,165,137,0,0,0,0,0,12,0
14,14 Players,,,,,947,403,67,173,142,92,14,403,7,4,57.1,3,42.9,189,1199,627,11,10,4,8,13,185,17
