,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Benik Afobe,9.0,cd COD,FW,24-188,58,0,0,0,0,2,1,0,0,15,1,0,0,0.7,0.7,0.0,1,0,3,8,37.5,1,10,1,0,0
1,Jermain Defoe,18.0,eng ENG,FW,34-316,32,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,4,4,100.0,0,4,0,0,0
2,Joshua King,17.0,no NOR,FW,25-216,90,0,0,0,0,1,0,0,0,25,1,0,2,0.1,0.1,0.0,2,0,12,16,75.0,1,18,5,0,0
3,Jordon Ibe,33.0,eng ENG,LM,21-254,59,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.1,1,0,19,23,82.6,4,24,1,3,1
4,Marc Pugh,7.0,eng ENG,LM,30-139,31,0,0,0,0,0,0,0,0,23,0,1,1,0.0,0.0,0.0,1,0,13,18,72.2,0,14,1,2,2
5,Harry Arter,8.0,ie IRL,CM,27-234,90,0,0,0,0,2,0,0,0,68,0,1,3,0.1,0.1,0.0,2,0,47,60,78.3,8,32,0,0,0
6,Andrew Surman,6.0,eng ENG,CM,30-364,90,0,0,0,0,0,0,0,0,75,3,2,0,0.0,0.0,0.0,0,0,49,64,76.6,11,36,1,0,0
7,Ryan Fraser,24.0,sct SCO,RM,23-176,77,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,0,0,12,25,48.0,0,13,0,0,0
8,Lys Mousset,31.0,fr FRA,RM,21-192,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,1,1,1
9,Charlie Daniels,11.0,eng ENG,LB,30-346,90,0,0,0,0,0,0,0,0,70,0,1,1,0.0,0.0,0.0,0,0,48,64,75.0,6,27,4,1,1
10,Nathan Aké,5.0,nl NED,CB,22-182,90,0,0,0,0,0,0,0,0,70,3,1,2,0.0,0.0,0.0,0,0,48,57,84.2,5,29,0,0,0
11,Steve Cook,3.0,eng ENG,CB,26-122,90,0,0,0,0,1,1,1,0,77,0,1,2,0.1,0.1,0.1,1,0,53,67,79.1,3,33,0,1,0
12,Adam Smith,15.0,eng ENG,RB,26-112,90,0,0,0,0,0,0,0,0,52,3,1,1,0.0,0.0,0.0,0,0,35,44,79.5,3,20,1,1,1
13,Asmir Begović,27.0,ba BIH,GK,30-060,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,21,29,72.4,0,18,0,0,0
14,14 Players,,,,,990,0,0,0,0,6,2,1,0,577,11,8,13,1.0,1.0,0.3,9,0,366,483,75.8,42,281,15,9,6
