,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Jay Rodriguez,19.0,eng ENG,"FW,LM",28-021,90,24,1,4,14,7,2,24,1,0,0.0,1,100.0,17,71,19,1,0,0,5,1,21,3
1,James McClean,14.0,ie IRL,LM,28-119,62,19,0,4,9,7,1,19,1,1,100.0,0,0.0,10,58,17,1,1,1,2,1,11,2
2,Hal Robson-Kanu,4.0,wls WAL,"FW,LM",28-090,20,7,1,1,2,4,2,7,2,2,100.0,0,0.0,6,29,25,1,0,1,0,0,5,0
3,Sam Field,28.0,eng ENG,CM,19-103,85,25,1,5,18,2,1,25,0,0,,0,,4,10,3,0,0,0,0,1,5,1
4,Salomón Rondón,9.0,ve VEN,CM,27-337,5,6,0,2,4,1,0,6,1,1,100.0,0,0.0,5,27,7,0,1,0,1,0,5,0
5,Jake Livermore,8.0,eng ENG,CM,27-278,90,24,1,4,15,6,0,24,1,1,100.0,0,0.0,9,45,33,0,1,0,2,0,11,0
6,Matt Phillips,10.0,sct SCO,RM,26-159,90,38,2,10,8,20,2,38,2,1,50.0,1,50.0,18,198,103,2,4,1,4,3,22,9
7,Gareth Barry,18.0,eng ENG,DM,36-177,90,39,11,21,16,2,0,39,0,0,,0,,9,38,18,0,0,0,1,0,13,1
8,Chris Brunt,11.0,nir NIR,LB,32-248,90,48,6,17,22,9,0,48,0,0,,0,,12,40,21,0,0,0,0,0,16,1
9,Ahmed Hegazi,26.0,eg EGY,CB,26-206,90,25,10,22,3,0,0,25,0,0,,0,,4,36,15,0,0,0,0,0,2,0
10,Craig Dawson,25.0,eng ENG,CB,27-105,90,32,6,18,13,1,1,32,0,0,,0,,12,66,53,0,0,0,1,0,12,0
11,Allan Nyom,2.0,cm CMR,RB,29-101,90,57,7,27,24,6,0,57,0,0,,0,,18,64,38,0,1,0,3,1,19,0
12,Ben Foster,1.0,eng ENG,GK,34-138,90,30,27,30,0,0,0,30,0,0,,0,,5,78,62,0,0,0,0,0,2,0
13,13 Players,,,,,982,374,73,165,148,65,9,374,8,6,75.0,2,25.0,129,760,414,5,8,3,19,7,144,17
