,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Michy Batshuayi,23.0,be BEL,FW,23-314,58,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
1,Álvaro Morata,9.0,es ESP,FW,24-293,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Jeremie Boga,38.0,ci CIV,AM,20-221,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Andreas Christensen,27.0,dk DEN,CB,21-124,72,1,1,1,0,0,0,0,,0,0,0,0,1,2,2,0
4,Charly Musonda Jr.,17.0,be BEL,CB,20-301,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Willian,22.0,br BRA,AM,29-003,90,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0
6,N'Golo Kanté,7.0,fr FRA,CM,26-136,90,2,2,0,1,1,0,1,0.0,1,1,0,1,2,4,1,0
7,Cesc Fàbregas,4.0,es ESP,CM,30-100,80,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
8,Marcos Alonso,3.0,es ESP,WB,26-227,90,2,1,1,1,0,0,0,,0,1,0,1,1,3,4,0
9,César Azpilicueta,28.0,es ESP,WB,27-349,90,3,3,3,0,0,1,1,100.0,0,0,0,0,1,4,1,0
10,Gary Cahill,24.0,eng ENG,CB,31-236,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
11,David Luiz,30.0,br BRA,CB,30-112,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0
12,Antonio Rüdiger,2.0,de GER,CB,24-162,90,0,0,0,0,0,0,0,,0,3,1,2,2,2,6,0
13,Thibaut Courtois,13.0,be BEL,GK,25-093,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,903,10,8,6,3,1,1,3,33.3,2,6,1,5,9,19,23,0
