,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Romelu Lukaku,9.0,be BEL,FW,24-098,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,20.0
1,Marcus Rashford,19.0,eng ENG,LW,19-292,74,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,
2,Anthony Martial,11.0,fr FRA,"LW,LM",21-257,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
3,Juan Mata,8.0,es ESP,RW,29-113,74,0,0,0,0,0,0,9,1,0,0,0,0,3,0,0,
4,Marouane Fellaini,27.0,be BEL,"RW,CM",29-270,16,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,50.0
5,Henrikh Mkhitaryan,22.0,am ARM,AM,28-210,84,0,0,0,1,2,0,1,1,1,0,0,0,9,0,0,
6,Ander Herrera,21.0,es ESP,RM,28-005,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
7,Nemanja Matić,31.0,rs SRB,DM,29-018,90,0,0,0,1,2,0,0,1,3,0,0,0,7,2,2,50.0
8,Paul Pogba,6.0,fr FRA,"DM,CM",24-157,90,1,0,0,3,2,0,3,2,3,0,0,0,4,1,3,25.0
9,Daley Blind,17.0,nl NED,LB,27-163,90,0,0,0,0,2,0,5,3,1,0,0,0,7,1,1,50.0
10,Phil Jones,4.0,eng ENG,CB,25-179,90,0,0,0,0,1,0,0,3,1,0,0,0,6,2,1,66.7
11,Eric Bailly,3.0,ci CIV,CB,23-129,90,0,0,0,1,0,0,0,3,1,0,0,0,3,1,1,50.0
12,Antonio Valencia,25.0,ec ECU,RB,32-015,90,0,0,0,0,1,0,2,1,1,0,0,0,12,1,1,50.0
13,David de Gea,1.0,es ESP,GK,26-285,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
14,14 Players,,,,,990,1,0,0,11,12,0,20,17,11,0,0,0,56,11,19,36.7
