,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Dwight Gayle,9.0,eng ENG,FW,26-300,75,11,9,2,0,0,0,1,0,0,0,0,0,4,0,0
1,Mikel Merino,23.0,es ESP,CM,21-052,15,15,15,0,0,0,1,0,0,0,0,0,0,12,0,0
2,Christian Atsu,30.0,gh GHA,"LW,LM,AM",25-215,90,18,18,0,0,0,0,4,0,0,0,0,0,8,0,1
3,Matt Ritchie,11.0,sct SCO,"RW,RM,WB",27-337,90,35,29,6,1,0,1,4,3,2,1,1,0,26,0,2
4,Ayoze Pérez,17.0,es ESP,"AM,CM,FW",24-015,90,15,14,1,0,1,0,0,0,0,0,0,0,8,0,0
5,Isaac Hayden,14.0,eng ENG,"DM,CM",22-144,90,29,27,2,1,0,0,4,1,0,0,0,0,22,0,4
6,Jonjo Shelvey,8.0,eng ENG,DM,25-167,47,13,8,4,1,1,0,2,0,3,2,0,0,6,1,0
7,Paul Dummett,3.0,wls WAL,LB,25-321,6,6,3,3,0,1,0,0,3,0,0,0,0,6,0,0
8,Jamaal Lascelles,6.0,eng ENG,CB,23-275,84,23,21,1,1,0,0,1,0,0,0,0,0,14,1,0
9,Ciaran Clark,2.0,ie IRL,"LB,CB",27-321,90,39,31,8,1,0,0,0,7,0,0,0,0,27,0,2
10,Florian Lejeune,20.0,fr FRA,CB,26-085,33,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0
11,Chancel Mbemba,18.0,cd COD,CB,23-005,57,14,14,0,0,0,0,1,0,0,0,0,0,13,0,0
12,Javier Manquillo,19.0,es ESP,"RB,WB",23-100,90,34,22,12,0,0,0,2,12,0,0,0,0,22,0,0
13,Rob Elliot,1.0,ie IRL,GK,31-105,90,34,22,12,5,0,0,0,0,0,0,0,0,12,0,0
14,14 Players,,,,,947,296,243,51,10,3,2,19,26,5,3,1,0,186,2,9
