,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Romelu Lukaku,9.0,be BEL,FW,24-098,90,11,18,61.1,94,9,9,13,69.2,0,1,0.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0
1,Marcus Rashford,19.0,eng ENG,LW,19-292,74,15,16,93.8,178,26,10,10,100.0,4,5,80.0,0,0,,0,0.0,0.0,1,0,1,0,2
2,Anthony Martial,11.0,fr FRA,"LW,LM",21-257,16,12,13,92.3,127,34,9,9,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
3,Juan Mata,8.0,es ESP,RW,29-113,74,43,58,74.1,707,127,21,24,87.5,16,25,64.0,4,6,66.7,0,0.4,0.3,2,3,0,0,1
4,Marouane Fellaini,27.0,be BEL,"RW,CM",29-270,16,12,14,85.7,127,53,8,9,88.9,1,2,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1
5,Henrikh Mkhitaryan,22.0,am ARM,AM,28-210,84,56,63,88.9,616,138,40,44,90.9,10,11,90.9,0,1,0.0,2,0.8,0.4,4,8,3,0,6
6,Ander Herrera,21.0,es ESP,RM,28-005,6,8,8,100.0,98,37,5,5,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
7,Nemanja Matić,31.0,rs SRB,DM,29-018,90,77,85,90.6,1361,296,30,33,90.9,36,37,97.3,8,11,72.7,0,0.0,0.0,0,6,0,0,4
8,Paul Pogba,6.0,fr FRA,"DM,CM",24-157,90,63,79,79.7,870,266,33,37,89.2,20,27,74.1,4,8,50.0,1,0.2,0.1,3,6,1,0,7
9,Daley Blind,17.0,nl NED,LB,27-163,90,63,74,85.1,895,290,38,42,90.5,19,21,90.5,4,9,44.4,0,0.1,0.1,1,1,0,0,4
10,Phil Jones,4.0,eng ENG,CB,25-179,90,44,46,95.7,816,275,13,13,100.0,25,25,100.0,4,6,66.7,0,0.0,0.0,0,1,0,0,2
11,Eric Bailly,3.0,ci CIV,CB,23-129,90,45,48,93.8,789,325,16,17,94.1,25,26,96.2,3,4,75.0,0,0.0,0.0,0,1,0,0,6
12,Antonio Valencia,25.0,ec ECU,RB,32-015,90,79,89,88.8,1067,429,52,56,92.9,22,23,95.7,3,7,42.9,0,0.0,0.0,0,2,0,0,5
13,David de Gea,1.0,es ESP,GK,26-285,90,14,26,53.8,500,410,3,3,100.0,3,3,100.0,8,20,40.0,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,542,637,85.1,8245,2715,287,315,91.1,181,206,87.9,41,76,53.9,3,1.6,1.1,12,29,5,0,38
