,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Sam Vokes,9.0,wls WAL,FW,27-295,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0
1,Jeff Hendrick,13.0,ie IRL,FW,25-193,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
2,Robbie Brady,12.0,ie IRL,LM,25-210,90,2,1,2,0,0,1,1,100.0,0,1,1,0,1,3,1,0
3,Jack Cork,4.0,eng ENG,CM,28-048,90,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,2,0
4,Steven Defour,16.0,be BEL,CM,29-119,74,0,0,0,0,0,0,1,0.0,1,2,1,1,5,5,4,0
5,Jonathan Walters,19.0,ie IRL,FW,33-326,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
6,Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-289,74,1,0,1,0,0,0,0,,0,1,0,1,1,2,1,0
7,Scott Arfield,37.0,ca CAN,RM,28-284,16,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0
8,Stephen Ward,23.0,ie IRL,LB,31-357,90,1,0,1,0,0,1,1,100.0,0,3,2,1,0,1,4,0
9,Ben Mee,6.0,eng ENG,CB,27-325,90,0,0,0,0,0,0,1,0.0,1,3,2,1,2,2,6,0
10,James Tarkowski,5.0,eng ENG,CB,24-266,90,1,1,1,0,0,0,0,,0,2,1,1,2,3,16,0
11,Matthew Lowton,2.0,eng ENG,RB,28-064,90,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,6,0
12,Tom Heaton,1.0,eng ENG,GK,31-119,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,8,4,6,2,0,3,8,37.5,5,13,7,6,13,21,44,0
