,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Tomer Hemed,10.0,il ISR,FW,30-102,59,15,15,0,0,0,0,0,0,0,0,0,0,5,0,0
1,Glenn Murray,17.0,eng ENG,FW,33-321,31,4,2,2,0,0,0,0,0,0,0,0,0,3,0,0
2,Pascal Groß,13.0,de GER,FW,26-058,90,34,29,3,1,0,0,4,0,2,1,1,0,15,2,3
3,Izzy Brown,37.0,eng ENG,LM,20-217,23,9,9,0,0,0,0,0,0,0,0,0,0,7,0,1
4,Jamie Murphy,15.0,sct SCO,LM,27-349,67,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
5,Davy Pröpper,24.0,nl NED,CM,25-344,90,15,15,0,0,0,0,0,0,0,0,0,0,8,0,0
6,Dale Stephens,6.0,eng ENG,CM,28-061,90,19,19,0,0,0,0,0,0,0,0,0,0,13,0,0
7,Solly March,20.0,eng ENG,RM,23-023,74,20,17,3,0,0,0,0,2,0,0,0,0,16,0,0
8,Anthony Knockaert,11.0,fr FRA,RM,25-265,16,6,4,2,1,0,0,2,0,1,1,0,0,3,0,1
9,Markus Suttner,29.0,at AUT,LB,30-118,90,28,19,9,0,0,0,1,9,0,0,0,0,17,0,1
10,Lewis Dunk,5.0,eng ENG,CB,25-264,90,12,9,2,2,0,1,0,0,0,0,0,0,8,1,0
11,Shane Duffy,22.0,ie IRL,CB,25-223,90,12,11,1,1,0,0,0,0,0,0,0,0,8,0,0
12,Bruno,2.0,es ESP,RB,36-315,90,35,25,8,1,0,0,1,7,0,0,0,0,21,2,1
13,Mathew Ryan,1.0,au AUS,GK,25-126,90,31,16,14,3,0,0,0,0,0,0,0,0,16,1,0
14,14 Players,,,,,990,248,198,44,9,0,1,8,18,3,2,1,0,146,6,7
