,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Stefano Okaka,33.0,it ITA,FW,28-003,62,23,0,1,15,7,1,23,3,3,100.0,0,0.0,15,82,29,2,0,0,4,4,20,1
1,Andre Gray,18.0,jm JAM,FW,26-047,28,8,0,0,4,4,0,8,0,0,,0,,4,19,0,0,0,0,0,1,6,1
2,Roberto Pereyra,37.0,ar ARG,LW,26-217,48,8,0,1,5,2,1,8,1,1,100.0,0,0.0,7,59,17,1,0,1,1,0,6,1
3,Richarlison,11.0,br BRA,LW,20-094,42,13,0,1,7,5,2,13,0,0,,0,,9,68,14,0,0,0,2,2,10,3
4,Nordin Amrabat,7.0,ma MAR,RW,30-134,90,46,0,8,16,22,0,46,2,1,50.0,1,50.0,26,103,14,0,2,0,1,4,34,7
5,Nathaniel Chalobah,14.0,eng ENG,LM,22-243,90,30,0,3,22,6,0,30,0,0,,0,,13,55,28,0,0,0,0,0,13,2
6,Abdoulaye Doucouré,16.0,ml MLI,CM,24-223,90,84,2,21,54,10,2,84,3,3,100.0,0,0.0,45,207,112,1,3,0,2,1,49,2
7,Tom Cleverley,8.0,eng ENG,RM,28-000,90,53,0,3,34,16,1,53,1,0,0.0,1,100.0,30,66,18,0,0,0,1,0,32,2
8,José Holebas,25.0,gr GRE,LB,33-046,90,64,6,23,30,13,1,64,4,2,50.0,2,50.0,21,127,39,2,2,1,0,2,20,2
9,Miguel Britos,3.0,uy URU,CB,32-026,90,51,1,24,26,2,1,51,0,0,,0,,24,130,78,1,0,0,0,0,30,0
10,Younès Kaboul,4.0,fr FRA,CB,31-220,90,71,6,35,29,7,1,71,1,0,0.0,1,100.0,34,213,104,2,0,0,0,0,36,0
11,Daryl Janmaat,2.0,nl NED,RB,28-021,17,13,1,5,5,3,0,13,0,0,,0,,4,32,22,1,1,0,0,0,6,0
12,Kiko Femenía,21.0,es ESP,RB,26-191,73,53,1,11,24,18,0,53,2,1,50.0,1,50.0,24,136,87,3,2,0,0,0,26,2
13,Heurelho Gomes,1.0,br BRA,GK,36-178,90,49,43,49,0,0,0,49,0,0,,0,,25,167,102,0,0,0,0,0,14,0
14,14 Players,,,,,990,566,60,185,271,115,10,566,17,11,64.7,6,35.3,281,1464,664,13,10,2,11,14,302,23
