,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Daniel Sturridge,15.0,eng ENG,FW,27-352,60,27,0,0,11,18,3,27,4,4,100.0,0,0.0,22,104,52,2,2,0,4,1,22,7
1,Mohamed Salah,11.0,eg EGY,"RW,RM",25-065,30,17,0,1,8,8,2,17,1,1,100.0,0,0.0,12,83,15,0,1,0,1,3,16,3
2,Roberto Firmino,9.0,br BRA,"LW,FW",25-321,89,59,1,4,28,30,6,59,2,0,0.0,2,100.0,43,353,166,8,4,1,0,3,46,8
3,Dejan Lovren,6.0,hr CRO,CB,28-045,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
4,Sadio Mané,19.0,sn SEN,"RW,LW,LM",25-131,90,72,1,4,28,40,10,72,4,2,50.0,2,50.0,50,264,134,6,3,2,7,2,61,16
5,James Milner,7.0,eng ENG,"LM,DM,CM",31-227,90,122,2,7,87,28,1,122,1,1,100.0,0,0.0,80,300,149,2,2,1,1,1,98,10
6,Jordan Henderson,14.0,eng ENG,"CM,DM",27-063,90,95,3,12,73,10,2,95,0,0,,0,,48,164,67,1,1,0,1,1,55,0
7,Georginio Wijnaldum,5.0,nl NED,RM,26-281,70,34,0,1,21,12,2,34,1,1,100.0,0,0.0,26,134,28,0,1,0,1,0,29,3
8,Dominic Solanke,29.0,eng ENG,"AM,FW",19-339,20,12,1,1,5,6,3,12,0,0,,0,,7,33,13,1,0,1,0,1,10,2
9,Andrew Robertson,26.0,sct SCO,LB,23-161,90,131,1,17,65,49,3,131,0,0,,0,,82,486,299,10,6,0,1,2,100,14
10,Ragnar Klavan,17.0,ee EST,CB,31-293,90,93,2,30,63,1,0,93,3,3,100.0,0,0.0,70,441,251,1,0,0,0,0,69,0
11,Joël Matip,32.0,cm CMR,CB,26-011,90,81,3,33,44,4,2,81,0,0,,0,,53,305,214,0,1,0,0,0,56,0
12,Joe Gomez,12.0,eng ENG,RB,20-088,90,87,1,18,55,15,0,87,1,1,100.0,0,0.0,49,262,137,2,1,0,0,3,55,8
13,Simon Mignolet,22.0,be BEL,GK,29-166,90,28,24,28,0,0,0,28,0,0,,0,,7,36,26,0,0,0,0,0,12,0
14,14 Players,,,,,990,858,39,156,488,221,34,858,17,13,76.5,4,23.5,549,2965,1551,33,22,5,16,17,629,71
