,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Jamie Vardy,9.0,eng ENG,FW,30-212,90,9,12,75.0,115,23,6,6,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,1,0,0,1
1,Shinji Okazaki,20.0,jp JPN,FW,31-117,71,10,22,45.5,140,22,6,13,46.2,1,2,50.0,2,4,50.0,0,0.0,0.0,0,1,0,0,1
2,Daniel Amartey,18.0,gh GHA,CM,22-233,19,5,7,71.4,63,21,3,3,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
3,Marc Albrighton,11.0,eng ENG,LM,27-266,87,16,25,64.0,301,133,8,8,100.0,3,4,75.0,4,8,50.0,1,0.7,0.5,1,4,2,2,3
4,Demarai Gray,7.0,eng ENG,LM,21-044,3,1,3,33.3,25,0,0,0,,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0
5,Wilfred Ndidi,25.0,ng NGA,"CM,DM",20-238,90,13,22,59.1,214,73,5,8,62.5,5,8,62.5,1,2,50.0,0,0.0,0.0,0,0,0,0,2
6,Matty James,22.0,eng ENG,CM,26-020,81,11,16,68.8,150,45,7,7,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0,2,0,0,2
7,Kelechi Iheanacho,8.0,ng NGA,FW,20-312,9,1,2,50.0,20,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
8,Riyad Mahrez,26.0,dz ALG,RM,26-171,90,24,34,70.6,379,145,11,12,91.7,3,5,60.0,4,8,50.0,1,0.2,0.3,1,2,0,0,0
9,Christian Fuchs,28.0,at AUT,LB,31-126,90,26,49,53.1,435,210,15,18,83.3,7,15,46.7,4,16,25.0,0,0.1,0.2,1,3,2,1,2
10,Harry Maguire,15.0,eng ENG,CB,24-159,90,18,26,69.2,299,146,9,12,75.0,7,9,77.8,1,4,25.0,1,0.4,0.2,1,1,0,0,1
11,Wes Morgan,5.0,jm JAM,CB,33-202,90,12,16,75.0,201,68,7,9,77.8,4,6,66.7,1,1,100.0,0,0.0,0.0,0,2,0,0,3
12,Danny Simpson,2.0,eng ENG,RB,30-219,90,29,44,65.9,495,231,13,14,92.9,13,18,72.2,2,8,25.0,0,0.0,0.0,0,2,0,0,1
13,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90,17,37,45.9,983,889,0,0,,0,0,,17,36,47.2,0,0.0,0.0,0,1,0,0,0
14,14 Players,,,,,990,192,315,61.0,3820,2006,90,111,81.1,51,80,63.8,37,90,41.1,3,1.4,1.2,4,19,4,3,16
