,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Roberto Firmino,9.0,br BRA,FW,25-314,80,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,25.0
1,Divock Origi,27.0,be BEL,FW,22-116,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2,Sadio Mané,19.0,sn SEN,"LW,RW",25-124,90,1,0,0,1,3,0,2,0,1,0,0,0,3,1,3,25.0
3,Mohamed Salah,11.0,eg EGY,RW,25-058,85,0,0,0,1,1,1,1,0,0,1,0,0,5,1,1,50.0
4,James Milner,7.0,eng ENG,RM,31-220,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
5,Georginio Wijnaldum,5.0,nl NED,"LM,LW",26-274,90,0,0,0,0,1,0,1,1,0,0,0,0,4,3,2,60.0
6,Jordan Henderson,14.0,eng ENG,CM,27-056,90,0,0,0,0,0,0,0,1,2,0,0,0,9,2,0,100.0
7,Emre Can,23.0,de GER,"RM,LM",23-212,90,0,0,0,3,2,0,0,1,3,0,0,0,4,3,6,33.3
8,Alberto Moreno,18.0,es ESP,LB,25-038,90,0,0,0,1,2,0,3,1,3,0,0,0,2,1,2,33.3
9,Dejan Lovren,6.0,hr CRO,CB,28-038,90,0,0,0,0,2,0,0,2,1,0,0,0,3,8,2,80.0
10,Joël Matip,32.0,cm CMR,CB,26-004,90,0,0,0,0,1,0,0,2,1,0,0,0,7,3,1,75.0
11,Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,89,1,0,0,1,0,0,5,3,3,0,0,0,3,1,0,100.0
12,Joe Gomez,12.0,eng ENG,RB,20-081,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0
13,Simon Mignolet,22.0,be BEL,GK,29-159,90,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
14,14 Players,,,,,990,3,0,0,8,13,1,14,11,15,1,0,0,44,25,22,53.2
