,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Eric Maxim Choupo-Moting,10.0,cm CMR,"AM,FW",28-149,90,2,2,0,2,0,0,0,,0,2,0,2,0,2,0,0
1,Jesé,11.0,es ESP,AM,24-174,70,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,1,0
2,Ramadan Sobhi,32.0,eg EGY,AM,20-208,20,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
3,Xherdan Shaqiri,22.0,ch SUI,AM,25-313,24,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0
4,Saido Berahino,9.0,bi BDI,FW,24-015,66,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
5,Joe Allen,4.0,wls WAL,CM,27-158,90,2,0,1,1,0,0,4,0.0,4,3,1,2,0,2,1,0
6,Darren Fletcher,24.0,sct SCO,CM,33-199,90,4,3,3,1,0,1,4,25.0,3,1,1,0,1,5,2,0
7,Erik Pieters,3.0,nl NED,WB,29-012,88,3,1,3,0,0,2,5,40.0,3,0,0,0,0,3,2,1
8,Bruno Martins Indi,15.0,nl NED,WB,25-192,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
9,Mame Biram Diouf,18.0,sn SEN,WB,29-246,90,2,1,2,0,0,0,0,,0,1,0,1,2,4,3,0
10,Geoff Cameron,20.0,us USA,CB,32-039,90,1,0,1,0,0,0,0,,0,3,2,1,2,3,2,0
11,Ryan Shawcross,17.0,eng ENG,CB,29-319,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,11,0
12,Kurt Zouma,6.0,fr FRA,CB,22-296,90,3,3,3,0,0,1,1,100.0,0,0,0,0,3,6,8,0
13,Jack Butland,1.0,eng ENG,GK,24-162,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
14,14 Players,,,,,990,19,11,13,5,1,4,20,20.0,16,14,6,8,8,27,37,1
