,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Gabriel Jesus,33.0,br BRA,FW,20-131,77,0,0,0,0,4,1,1,0,37,1,0,0,0.9,0.9,0.0,2,0,20,26,76.9,3,17,3,2,2
1,Raheem Sterling,7.0,eng ENG,FW,22-247,13,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,4,1,1,1
2,Sergio Agüero,10.0,ar ARG,FW,29-071,82,1,0,0,0,2,1,0,0,31,1,0,1,0.7,0.7,0.6,4,0,14,21,66.7,1,16,1,3,1
3,Bernardo Silva,20.0,pt POR,FW,23-002,8,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,12,15,80.0,1,11,0,0,0
4,Danilo,3.0,br BRA,LW,26-028,67,0,0,0,0,1,0,0,0,54,1,0,0,0.0,0.0,0.0,2,0,40,48,83.3,1,31,0,0,0
5,Leroy Sané,19.0,de GER,LW,21-213,23,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,13,14,92.9,0,16,0,1,0
6,Kyle Walker,2.0,eng ENG,RW,27-076,90,0,0,0,0,0,0,0,0,84,1,0,0,0.0,0.0,0.0,1,0,70,79,88.6,7,36,4,2,0
7,David Silva,21.0,es ESP,CM,31-216,90,0,1,0,0,0,0,0,0,111,1,2,0,0.0,0.0,0.5,10,1,95,107,88.8,14,85,5,1,1
8,Kevin De Bruyne,17.0,be BEL,CM,26-045,90,0,0,0,0,4,1,0,0,98,2,0,3,0.2,0.2,0.0,2,1,73,90,81.1,16,58,10,2,1
9,Fernandinho,25.0,br BRA,DM,32-100,90,0,0,0,0,2,1,0,0,110,0,2,1,0.1,0.1,0.1,1,0,86,102,84.3,16,66,2,0,0
10,Nicolás Otamendi,30.0,ar ARG,CB,29-181,90,0,0,0,0,1,0,0,0,110,1,2,1,0.0,0.0,0.0,1,0,94,102,92.2,14,78,1,0,0
11,John Stones,5.0,eng ENG,CB,23-076,90,0,0,0,0,0,0,0,0,102,0,0,1,0.0,0.0,0.0,0,0,96,99,97.0,3,78,5,0,0
12,Vincent Kompany,4.0,be BEL,CB,31-124,90,0,0,0,0,0,0,0,0,94,1,3,2,0.0,0.0,0.0,2,0,79,87,90.8,10,58,2,0,0
13,Ederson,31.0,br BRA,GK,23-360,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,20,24,83.3,0,12,0,0,0
14,14 Players,,,,,990,1,1,0,0,14,4,2,0,897,10,9,9,1.9,1.9,1.2,25,2,718,820,87.6,87,566,34,12,6
