,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Michy Batshuayi,23.0,be BEL,FW,23-314,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
1,Álvaro Morata,9.0,es ESP,FW,24-293,32,0,0,0,1,1,2,0,0,0,0,0,0,2,0,2,0.0
2,Jeremie Boga,38.0,ci CIV,AM,20-221,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
3,Andreas Christensen,27.0,dk DEN,CB,21-124,72,0,0,0,0,2,0,0,1,1,0,0,0,4,1,2,33.3
4,Charly Musonda Jr.,17.0,be BEL,CB,20-301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Willian,22.0,br BRA,AM,29-003,90,0,0,0,1,2,0,7,0,1,0,0,0,6,1,0,100.0
6,N'Golo Kanté,7.0,fr FRA,CM,26-136,90,0,0,0,0,1,0,1,2,2,0,0,0,10,0,0,
7,Cesc Fàbregas,4.0,es ESP,CM,30-100,80,2,1,1,3,2,0,7,0,0,0,0,0,6,1,0,100.0
8,Marcos Alonso,3.0,es ESP,WB,26-227,90,1,0,0,2,1,0,4,1,1,0,0,0,4,1,4,20.0
9,César Azpilicueta,28.0,es ESP,WB,27-349,90,0,0,0,2,0,0,6,1,3,0,0,0,4,4,0,100.0
10,Gary Cahill,24.0,eng ENG,CB,31-236,13,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,
11,David Luiz,30.0,br BRA,CB,30-112,90,1,0,0,2,1,0,1,2,0,0,0,0,5,2,5,28.6
12,Antonio Rüdiger,2.0,de GER,CB,24-162,90,1,0,0,3,1,0,0,2,0,0,0,0,1,5,4,55.6
13,Thibaut Courtois,13.0,be BEL,GK,25-093,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,903,5,2,1,16,11,2,26,9,8,0,0,0,44,15,21,41.7
