,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Tomer Hemed,10.0,il ISR,FW,30-102,59,0,0,0,0,1,0,0,0,0,0,0,0,3,6,7,46.2
1,Glenn Murray,17.0,eng ENG,FW,33-321,31,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0.0
2,Pascal Groß,13.0,de GER,FW,26-058,90,0,0,0,0,0,3,4,0,0,0,0,0,4,1,1,50.0
3,Izzy Brown,37.0,eng ENG,LM,20-217,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
4,Jamie Murphy,15.0,sct SCO,LM,27-349,67,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,
5,Davy Pröpper,24.0,nl NED,CM,25-344,90,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0.0
6,Dale Stephens,6.0,eng ENG,CM,28-061,90,0,0,0,3,0,0,0,3,0,0,0,0,6,2,1,66.7
7,Solly March,20.0,eng ENG,RM,23-023,74,0,0,0,1,2,1,0,1,1,0,0,0,6,0,0,
8,Anthony Knockaert,11.0,fr FRA,RM,25-265,16,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,
9,Markus Suttner,29.0,at AUT,LB,30-118,90,0,0,0,0,0,0,1,1,2,0,0,0,4,1,1,50.0
10,Lewis Dunk,5.0,eng ENG,CB,25-264,90,0,0,0,0,1,0,0,3,0,0,0,1,3,2,1,66.7
11,Shane Duffy,22.0,ie IRL,CB,25-223,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
12,Bruno,2.0,es ESP,RB,36-315,90,0,0,0,0,2,0,1,3,1,0,0,0,8,0,0,
13,Mathew Ryan,1.0,au AUS,GK,25-126,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,0,0,0,6,8,6,8,12,8,0,0,1,42,13,13,50.0
