,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jamie Vardy,9.0,eng ENG,FW,30-212,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
1,Shinji Okazaki,20.0,jp JPN,FW,31-117,71,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
2,Daniel Amartey,18.0,gh GHA,CM,22-233,19,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,1,0
3,Marc Albrighton,11.0,eng ENG,LM,27-266,87,1,0,1,0,0,0,2,0.0,2,2,1,1,0,1,2,0
4,Demarai Gray,7.0,eng ENG,LM,21-044,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Wilfred Ndidi,25.0,ng NGA,"CM,DM",20-238,90,3,2,1,2,0,0,2,0.0,2,2,1,1,2,5,4,0
6,Matty James,22.0,eng ENG,CM,26-020,81,4,2,4,0,0,0,0,,0,1,0,1,2,6,2,0
7,Kelechi Iheanacho,8.0,ng NGA,FW,20-312,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,Riyad Mahrez,26.0,dz ALG,RM,26-171,90,2,1,2,0,0,0,4,0.0,4,3,0,3,2,4,1,0
9,Christian Fuchs,28.0,at AUT,LB,31-126,90,1,0,1,0,0,1,3,33.3,2,3,1,2,1,2,4,0
10,Harry Maguire,15.0,eng ENG,CB,24-159,90,2,1,0,2,0,1,2,50.0,1,3,3,0,2,4,4,0
11,Wes Morgan,5.0,jm JAM,CB,33-202,90,0,0,0,0,0,0,0,,0,2,1,1,1,1,6,0
12,Danny Simpson,2.0,eng ENG,RB,30-219,90,0,0,0,0,0,0,3,0.0,3,2,1,1,1,1,4,0
13,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
14,14 Players,,,,,990,17,8,11,4,2,3,19,15.8,16,18,8,10,11,28,29,0
