,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Dwight Gayle,9.0,eng ENG,FW,26-307,51,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
1,Joselu,21.0,es ESP,FW,27-146,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Matt Ritchie,11.0,sct SCO,LW,27-344,90,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
3,Christian Atsu,30.0,gh GHA,RW,25-222,90,2,2,1,1,0,0,2,0.0,2,1,0,1,0,2,0,1
4,Ayoze Pérez,17.0,es ESP,AM,24-022,79,0,0,0,0,0,0,1,0.0,1,7,0,7,0,0,1,0
5,Jacob Murphy,7.0,eng ENG,AM,22-177,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
6,Mikel Merino,23.0,es ESP,DM,21-059,90,2,2,1,1,0,2,2,100.0,0,1,0,1,2,4,3,0
7,Isaac Hayden,14.0,eng ENG,DM,22-151,75,5,3,2,3,0,3,3,100.0,0,0,0,0,1,6,1,0
8,Mohamed Diamé,10.0,sn SEN,DM,30-067,15,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
9,Chancel Mbemba,18.0,cd COD,LB,23-012,90,0,0,0,0,0,0,0,,0,2,0,2,2,2,7,0
10,Ciaran Clark,2.0,ie IRL,CB,27-328,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0
11,Jamaal Lascelles,6.0,eng ENG,CB,23-282,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,5,0
12,Javier Manquillo,19.0,es ESP,RB,23-107,90,6,3,4,0,2,4,5,80.0,1,1,1,0,1,7,2,0
13,Rob Elliot,1.0,ie IRL,GK,31-112,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,18,13,10,6,2,11,16,68.8,5,14,1,13,7,25,28,1
