,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Manolo Gabbiadini,20.0,it ITA,FW,25-259,68,15,14,1,0,0,0,1,0,0,0,0,0,12,0,1
1,Charlie Austin,10.0,eng ENG,FW,28-038,22,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1
2,Nathan Redmond,22.0,eng ENG,LW,23-159,90,46,44,2,0,0,0,3,1,1,1,0,0,40,0,2
3,James Ward-Prowse,16.0,eng ENG,RW,22-284,70,35,26,9,2,0,0,8,0,7,5,1,0,25,0,1
4,Sofiane Boufal,19.0,ma MAR,RW,23-329,20,20,17,3,2,1,0,1,0,1,1,0,0,15,0,1
5,Dušan Tadić,11.0,rs SRB,AM,28-265,90,47,45,2,1,0,0,8,0,1,0,0,0,31,0,4
6,Steven Davis,8.0,nir NIR,DM,32-223,90,72,71,1,1,0,1,1,0,0,0,0,0,68,0,0
7,Oriol Romeu,14.0,es ESP,DM,25-322,90,80,77,3,3,0,1,0,0,0,0,0,0,70,0,0
8,Ryan Bertrand,21.0,eng ENG,LB,28-007,85,77,64,13,0,0,0,6,10,3,2,0,0,65,0,1
9,Sam McQueen,38.0,eng ENG,LB,22-187,5,9,7,2,0,0,0,0,2,0,0,0,0,6,0,1
10,Maya Yoshida,3.0,jp JPN,CB,28-353,90,52,52,0,0,0,1,0,0,0,0,0,0,40,0,1
11,Jack Stephens,5.0,eng ENG,CB,23-197,90,37,36,1,1,0,1,0,0,0,0,0,0,31,0,1
12,Cédric Soares,2.0,pt POR,RB,25-346,90,68,54,14,1,0,1,7,13,0,0,0,0,52,0,3
13,Fraser Forster,44.0,eng ENG,GK,29-148,90,15,9,6,2,0,0,0,0,0,0,0,0,8,0,0
14,14 Players,,,,,990,580,523,57,13,1,5,35,26,13,9,1,0,468,0,17
