,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Jordan Ayew,18.0,gh GHA,FW,25-342,90,49,1,4,18,27,3,49,4,3,75.0,1,25.0,35,260,148,6,6,1,2,2,38,6
1,Tammy Abraham,10.0,eng ENG,FW,19-321,81,21,0,1,15,6,1,21,2,1,50.0,1,50.0,16,72,8,0,0,0,3,4,17,3
2,Oliver McBurnie,62.0,sct SCO,FW,21-076,9,6,0,0,3,3,0,6,0,0,,0,,5,27,1,0,0,0,1,0,5,2
3,Martin Olsson,16.0,se SWE,"LW,LB",29-094,90,67,3,14,25,28,1,67,0,0,,0,,35,122,55,1,2,0,1,1,41,4
4,Kyle Naughton,26.0,eng ENG,"RW,RB",28-275,90,73,5,16,39,18,2,73,0,0,,0,,39,128,79,1,1,1,2,0,39,1
5,Tom Carroll,14.0,eng ENG,CM,25-083,90,77,4,15,44,19,0,77,0,0,,0,,54,246,121,4,1,0,0,1,57,0
6,Leroy Fer,8.0,nl NED,CM,27-226,90,62,2,13,37,12,0,62,1,1,100.0,0,0.0,43,197,94,2,3,1,1,2,44,2
7,Roque Mesa,51.0,es ESP,DM,28-073,66,40,0,10,24,7,0,40,1,0,0.0,1,100.0,23,97,37,0,0,0,1,0,26,0
8,Luciano Narsingh,11.0,nl NED,RM,26-340,24,11,0,2,4,5,0,11,0,0,,0,,7,43,7,0,0,0,1,0,7,5
9,Alfie Mawson,6.0,eng ENG,CB,23-212,90,46,5,25,22,0,0,46,0,0,,0,,26,99,56,0,0,0,0,2,22,0
10,Kyle Bartley,27.0,eng ENG,CB,26-089,66,28,9,24,2,2,2,28,0,0,,0,,4,11,6,0,0,0,0,0,7,0
11,Wayne Routledge,15.0,eng ENG,LM,32-224,24,8,0,2,2,4,1,8,0,0,,0,,5,15,0,0,1,0,1,0,6,2
12,Federico Fernández,33.0,ar ARG,CB,28-179,90,38,5,32,5,2,1,38,0,0,,0,,22,92,49,0,0,0,0,1,19,1
13,Łukasz Fabiański,1.0,pl POL,GK,32-123,90,30,26,30,0,0,0,30,0,0,,0,,15,107,85,0,0,0,0,0,10,0
14,14 Players,,,,,990,556,60,188,240,133,11,556,8,5,62.5,3,37.5,329,1516,746,14,14,3,13,13,338,26
