,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Dwight Gayle,9.0,eng ENG,FW,26-307,51,5,7,71.4,57,0,5,5,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0
1,Joselu,21.0,es ESP,FW,27-146,39,8,12,66.7,96,10,7,8,87.5,0,1,0.0,1,1,100.0,0,0.0,0.0,1,0,0,0,1
2,Matt Ritchie,11.0,sct SCO,LW,27-344,90,29,49,59.2,535,113,16,20,80.0,6,13,46.2,5,11,45.5,0,0.0,0.0,1,0,2,1,2
3,Christian Atsu,30.0,gh GHA,RW,25-222,90,19,27,70.4,222,48,12,16,75.0,4,7,57.1,1,1,100.0,0,0.2,0.2,2,0,0,0,1
4,Ayoze Pérez,17.0,es ESP,AM,24-022,79,17,29,58.6,235,43,13,15,86.7,3,4,75.0,1,3,33.3,0,0.0,0.0,1,2,0,0,3
5,Jacob Murphy,7.0,eng ENG,AM,22-177,11,2,3,66.7,25,15,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,1
6,Mikel Merino,23.0,es ESP,DM,21-059,90,40,55,72.7,801,218,12,17,70.6,23,26,88.5,5,11,45.5,0,0.0,0.0,0,5,1,0,7
7,Isaac Hayden,14.0,eng ENG,DM,22-151,75,26,37,70.3,492,167,11,13,84.6,11,14,78.6,3,6,50.0,0,0.0,0.0,0,5,1,0,6
8,Mohamed Diamé,10.0,sn SEN,DM,30-067,15,10,12,83.3,231,100,3,3,100.0,5,7,71.4,2,2,100.0,0,0.0,0.0,0,0,0,0,3
9,Chancel Mbemba,18.0,cd COD,LB,23-012,90,31,43,72.1,532,301,13,17,76.5,17,20,85.0,1,3,33.3,0,0.0,0.0,0,1,1,0,5
10,Ciaran Clark,2.0,ie IRL,CB,27-328,90,39,48,81.3,867,411,13,13,100.0,16,17,94.1,10,16,62.5,0,0.2,0.2,2,5,1,0,4
11,Jamaal Lascelles,6.0,eng ENG,CB,23-282,90,41,48,85.4,806,388,15,15,100.0,20,23,87.0,6,9,66.7,0,0.0,0.1,1,2,1,0,4
12,Javier Manquillo,19.0,es ESP,RB,23-107,90,30,48,62.5,501,221,16,24,66.7,9,12,75.0,4,7,57.1,0,0.1,0.0,1,2,1,1,4
13,Rob Elliot,1.0,ie IRL,GK,31-112,90,28,45,62.2,834,636,5,5,100.0,10,12,83.3,13,28,46.4,0,0.0,0.0,0,1,0,0,0
14,14 Players,,,,,990,325,463,70.2,6234,2671,142,172,82.6,125,158,79.1,52,99,52.5,0,0.6,0.6,9,24,8,2,41
