,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Dwight Gayle,9.0,eng ENG,FW,26-307,51,13,2,2,7,4,1,13,0,0,,0,,6,13,0,0,0,0,2,1,10,3
1,Joselu,21.0,es ESP,FW,27-146,39,18,0,0,5,13,4,18,0,0,,0,,8,28,10,1,0,1,1,2,17,6
2,Matt Ritchie,11.0,sct SCO,LW,27-344,90,57,0,8,31,19,2,57,0,0,,0,,24,93,18,1,0,0,3,3,37,7
3,Christian Atsu,30.0,gh GHA,RW,25-222,90,35,0,8,13,15,4,35,4,2,50.0,2,50.0,20,129,54,1,0,0,1,2,24,10
4,Ayoze Pérez,17.0,es ESP,AM,24-022,79,41,1,2,28,12,3,41,3,2,66.7,1,33.3,15,66,28,1,1,1,0,1,25,4
5,Jacob Murphy,7.0,eng ENG,AM,22-177,11,4,0,1,1,2,1,4,0,0,,0,,2,22,10,1,0,1,0,0,2,1
6,Mikel Merino,23.0,es ESP,DM,21-059,90,64,3,15,45,6,0,64,3,2,66.7,1,33.3,25,145,85,3,2,0,1,2,35,0
7,Isaac Hayden,14.0,eng ENG,DM,22-151,75,48,2,5,33,10,1,48,2,1,50.0,1,50.0,22,80,34,0,1,0,0,3,32,3
8,Mohamed Diamé,10.0,sn SEN,DM,30-067,15,13,0,1,10,2,0,13,1,0,0.0,1,100.0,8,32,13,0,0,0,0,0,10,0
9,Chancel Mbemba,18.0,cd COD,LB,23-012,90,53,5,23,21,10,0,53,2,2,100.0,0,0.0,14,61,26,1,1,0,0,1,20,4
10,Ciaran Clark,2.0,ie IRL,CB,27-328,90,56,3,25,30,1,1,56,0,0,,0,,24,144,106,2,0,0,0,0,35,0
11,Jamaal Lascelles,6.0,eng ENG,CB,23-282,90,56,7,28,28,1,0,56,0,0,,0,,20,115,59,0,0,0,0,2,29,0
12,Javier Manquillo,19.0,es ESP,RB,23-107,90,59,1,16,24,21,2,59,1,0,0.0,1,100.0,19,56,21,1,1,0,0,0,28,3
13,Rob Elliot,1.0,ie IRL,GK,31-112,90,45,27,44,1,0,0,45,0,0,,0,,16,59,44,0,0,0,0,0,21,0
14,14 Players,,,,,990,562,51,178,277,116,19,562,16,9,56.3,7,43.8,223,1043,508,12,6,3,8,17,325,41
