,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Sam Vokes,9.0,wls WAL,FW,27-295,90,23,2,3,9,11,5,23,0,0,,0,,10,34,7,0,0,0,2,0,19,3
1,Jeff Hendrick,13.0,ie IRL,FW,25-193,90,34,1,5,22,8,0,34,0,0,,0,,19,93,53,1,3,0,0,2,23,3
2,Robbie Brady,12.0,ie IRL,LM,25-210,90,37,2,5,12,20,2,37,0,0,,0,,14,63,21,0,2,0,1,2,19,7
3,Jack Cork,4.0,eng ENG,CM,28-048,90,47,3,8,36,3,0,47,0,0,,0,,16,59,11,0,0,0,4,1,30,0
4,Steven Defour,16.0,be BEL,CM,29-119,74,46,2,13,30,3,0,46,1,1,100.0,0,0.0,26,136,74,0,1,0,0,1,23,0
5,Jonathan Walters,19.0,ie IRL,FW,33-326,16,4,0,0,0,4,0,4,0,0,,0,,2,15,0,0,0,0,1,2,4,3
6,Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-289,74,18,2,5,6,7,0,18,0,0,,0,,11,40,2,0,0,0,0,0,11,4
7,Scott Arfield,37.0,ca CAN,RM,28-284,16,5,1,2,2,1,0,5,0,0,,0,,2,3,0,0,0,0,0,0,3,0
8,Stephen Ward,23.0,ie IRL,LB,31-357,90,56,6,19,31,6,1,56,2,1,50.0,1,50.0,25,133,70,2,2,1,1,0,39,2
9,Ben Mee,6.0,eng ENG,CB,27-325,90,45,3,22,20,3,3,45,0,0,,0,,15,43,20,0,1,0,0,0,22,0
10,James Tarkowski,5.0,eng ENG,CB,24-266,90,53,12,32,21,0,0,53,0,0,,0,,16,41,18,0,0,0,0,0,25,0
11,Matthew Lowton,2.0,eng ENG,RB,28-064,90,43,7,15,20,8,0,43,0,0,,0,,20,141,83,1,3,0,1,1,25,3
12,Tom Heaton,1.0,eng ENG,GK,31-119,90,42,32,39,3,0,0,42,0,0,,0,,14,141,101,0,0,0,0,0,11,0
13,13 Players,,,,,990,453,73,168,212,74,11,453,3,2,66.7,1,33.3,190,942,460,4,12,1,10,9,254,25
