,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Daniel Sturridge,15.0,eng ENG,FW,27-352,60,15,19,78.9,201,39,10,13,76.9,5,6,83.3,0,0,,0,0.0,0.1,1,2,0,0,2
1,Mohamed Salah,11.0,eg EGY,"RW,RM",25-065,30,9,12,75.0,154,40,4,5,80.0,4,5,80.0,1,2,50.0,0,0.1,0.1,1,0,1,0,1
2,Roberto Firmino,9.0,br BRA,"LW,FW",25-321,89,37,48,77.1,515,129,19,25,76.0,13,13,100.0,2,2,100.0,0,0.1,0.1,2,5,0,0,6
3,Dejan Lovren,6.0,hr CRO,CB,28-045,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
4,Sadio Mané,19.0,sn SEN,"RW,LW,LM",25-131,90,43,56,76.8,594,173,29,35,82.9,10,13,76.9,2,4,50.0,0,0.0,0.1,1,5,3,0,8
5,James Milner,7.0,eng ENG,"LM,DM,CM",31-227,90,105,115,91.3,1948,544,48,52,92.3,41,43,95.3,14,17,82.4,0,0.0,0.1,0,15,2,0,19
6,Jordan Henderson,14.0,eng ENG,"CM,DM",27-063,90,63,83,75.9,1143,225,26,28,92.9,29,37,78.4,6,14,42.9,0,0.1,0.1,1,10,0,0,3
7,Georginio Wijnaldum,5.0,nl NED,RM,26-281,70,23,29,79.3,329,62,10,12,83.3,12,13,92.3,0,1,0.0,0,0.0,0.0,0,1,0,0,1
8,Dominic Solanke,29.0,eng ENG,"AM,FW",19-339,20,6,8,75.0,50,6,6,6,100.0,0,0,,0,1,0.0,0,0.0,0.0,1,0,0,0,0
9,Andrew Robertson,26.0,sct SCO,LB,23-161,90,103,125,82.4,1486,502,53,58,91.4,38,51,74.5,5,6,83.3,0,1.0,0.8,3,7,4,2,13
10,Ragnar Klavan,17.0,ee EST,CB,31-293,90,80,87,92.0,1436,559,29,32,90.6,46,49,93.9,5,5,100.0,0,0.0,0.0,1,7,0,0,6
11,Joël Matip,32.0,cm CMR,CB,26-011,90,66,75,88.0,1295,558,21,22,95.5,36,40,90.0,9,12,75.0,0,0.1,0.0,1,1,0,0,3
12,Joe Gomez,12.0,eng ENG,RB,20-088,90,64,79,81.0,1021,364,32,37,86.5,25,32,78.1,6,8,75.0,0,0.1,0.1,2,6,1,1,9
13,Simon Mignolet,22.0,be BEL,GK,29-166,90,22,27,81.5,682,548,2,2,100.0,10,10,100.0,10,15,66.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,636,763,83.4,10854,3749,289,327,88.4,269,312,86.2,60,87,69.0,0,1.5,1.4,14,59,11,3,71
