,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Dwight Gayle,9.0,eng ENG,FW,26-300,75,0,0,0,1,1,1,1,0,0,0,0,0,1,4,4,50.0
1,Mikel Merino,23.0,es ESP,CM,21-052,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
2,Christian Atsu,30.0,gh GHA,"LW,LM,AM",25-215,90,0,0,0,0,0,1,4,0,0,0,0,0,3,1,1,50.0
3,Matt Ritchie,11.0,sct SCO,"RW,RM,WB",27-337,90,1,0,0,0,1,0,4,2,1,0,0,0,5,2,0,100.0
4,Ayoze Pérez,17.0,es ESP,"AM,CM,FW",24-015,90,0,0,0,1,1,0,0,1,1,0,0,0,6,1,2,33.3
5,Isaac Hayden,14.0,eng ENG,"DM,CM",22-144,90,0,0,0,2,1,0,4,3,1,0,0,0,2,0,2,0.0
6,Jonjo Shelvey,8.0,eng ENG,DM,25-167,47,0,1,0,0,0,0,2,1,1,0,0,0,4,0,1,0.0
7,Paul Dummett,3.0,wls WAL,LB,25-321,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
8,Jamaal Lascelles,6.0,eng ENG,CB,23-275,84,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,100.0
9,Ciaran Clark,2.0,ie IRL,"LB,CB",27-321,90,0,0,0,1,1,0,0,0,2,0,0,0,5,2,0,100.0
10,Florian Lejeune,20.0,fr FRA,CB,26-085,33,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0
11,Chancel Mbemba,18.0,cd COD,CB,23-005,57,0,0,0,0,1,0,1,0,1,0,0,0,4,3,2,60.0
12,Javier Manquillo,19.0,es ESP,"RB,WB",23-100,90,0,0,0,1,1,0,2,0,2,0,0,0,4,0,1,0.0
13,Rob Elliot,1.0,ie IRL,GK,31-105,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,947,1,1,0,6,9,2,19,8,9,0,0,0,43,14,15,48.3
