,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Christian Benteke,17.0,be BEL,FW,26-259,90,22,20,2,0,0,0,0,0,0,0,0,0,10,0,0
1,Andros Townsend,10.0,eng ENG,"FW,AM",26-034,90,22,20,1,0,0,0,1,1,0,0,0,0,18,1,1
2,Luka Milivojević,4.0,rs SRB,CM,26-134,76,31,31,0,0,0,0,0,0,0,0,0,0,27,0,2
3,Sullay Kaikai,25.0,sl SLE,CM,21-358,14,8,5,3,1,0,0,2,0,2,0,0,0,4,0,0
4,Jason Puncheon,42.0,eng ENG,CM,31-062,72,23,21,2,2,0,0,1,0,0,0,0,0,18,0,0
5,James McArthur,18.0,sct SCO,CM,29-316,18,7,5,2,1,0,0,0,1,0,0,0,0,4,0,0
6,Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-208,90,21,21,0,0,0,0,0,0,0,0,0,0,17,0,0
7,Patrick van Aanholt,3.0,nl NED,WB,26-355,83,23,18,4,1,0,0,0,3,0,0,0,0,13,1,0
8,Jeffrey Schlupp,15.0,gh GHA,WB,24-239,7,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0
9,Joel Ward,2.0,eng ENG,WB,27-294,90,38,23,14,0,0,1,2,14,0,0,0,0,23,1,1
10,James Tomkins,5.0,eng ENG,CB,28-143,90,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0
11,Scott Dann,6.0,eng ENG,CB,30-186,90,25,24,0,0,0,0,0,0,0,0,0,0,16,1,0
12,Timothy Fosu-Mensah,24.0,nl NED,CB,19-229,90,22,22,0,0,0,0,0,0,0,0,0,0,14,0,0
13,Wayne Hennessey,13.0,wls WAL,GK,30-207,90,44,27,17,7,0,0,0,0,0,0,0,0,20,0,0
14,14 Players,,,,,990,305,255,46,12,0,1,6,20,2,0,0,0,198,4,4
