,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Benik Afobe,9.0,cd COD,FW,24-188,58,0,0,0,1,1,0,0,0,1,0,0,0,2,2,4,33.3
1,Jermain Defoe,18.0,eng ENG,FW,34-316,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Joshua King,17.0,no NOR,FW,25-216,90,0,0,0,2,2,0,0,0,1,0,0,0,2,2,0,100.0
3,Jordon Ibe,33.0,eng ENG,LM,21-254,59,0,0,0,0,1,0,2,0,0,0,0,0,4,0,1,0.0
4,Marc Pugh,7.0,eng ENG,LM,30-139,31,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0.0
5,Harry Arter,8.0,ie IRL,CM,27-234,90,0,0,0,0,1,0,0,1,0,0,0,0,10,1,0,100.0
6,Andrew Surman,6.0,eng ENG,CM,30-364,90,0,0,0,0,1,1,3,2,2,0,0,0,4,1,4,20.0
7,Ryan Fraser,24.0,sct SCO,RM,23-176,77,0,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0.0
8,Lys Mousset,31.0,fr FRA,RM,21-192,13,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,
9,Charlie Daniels,11.0,eng ENG,LB,30-346,90,0,0,0,0,0,0,4,1,0,0,0,0,8,3,0,100.0
10,Nathan Aké,5.0,nl NED,CB,22-182,90,0,0,0,1,0,0,0,1,1,0,0,0,4,1,2,33.3
11,Steve Cook,3.0,eng ENG,CB,26-122,90,1,0,0,0,0,0,0,1,0,0,0,0,1,4,2,66.7
12,Adam Smith,15.0,eng ENG,RB,26-112,90,0,0,0,2,2,0,0,1,2,0,0,0,4,1,1,50.0
13,Asmir Begović,27.0,ba BIH,GK,30-060,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,1,0,0,6,13,1,15,8,7,0,0,0,42,15,16,48.4
