,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Jordan Ayew,18.0,gh GHA,FW,25-342,90,38,37,1,0,1,0,2,0,0,0,0,0,28,0,0
1,Tammy Abraham,10.0,eng ENG,FW,19-321,81,14,11,3,0,0,0,1,0,0,0,0,0,12,0,1
2,Oliver McBurnie,62.0,sct SCO,FW,21-076,9,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1
3,Martin Olsson,16.0,se SWE,"LW,LB",29-094,90,59,47,12,0,0,0,4,12,0,0,0,0,37,0,5
4,Kyle Naughton,26.0,eng ENG,"RW,RB",28-275,90,63,50,13,2,0,2,5,11,0,0,0,0,42,0,3
5,Tom Carroll,14.0,eng ENG,CM,25-083,90,69,63,6,3,0,0,6,0,3,2,1,0,58,0,1
6,Leroy Fer,8.0,nl NED,CM,27-226,90,55,53,1,0,1,1,1,0,0,0,0,0,49,1,1
7,Roque Mesa,51.0,es ESP,DM,28-073,66,37,35,2,2,0,0,1,0,0,0,0,0,30,0,2
8,Luciano Narsingh,11.0,nl NED,RM,26-340,24,7,7,0,0,0,0,1,0,0,0,0,0,5,0,1
9,Alfie Mawson,6.0,eng ENG,CB,23-212,90,36,35,1,1,0,2,0,0,0,0,0,0,25,0,0
10,Kyle Bartley,27.0,eng ENG,CB,26-089,66,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0
11,Wayne Routledge,15.0,eng ENG,LM,32-224,24,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
12,Federico Fernández,33.0,ar ARG,CB,28-179,90,30,29,1,1,0,2,1,0,0,0,0,0,24,0,1
13,Łukasz Fabiański,1.0,pl POL,GK,32-123,90,28,18,10,2,0,0,0,0,0,0,0,0,17,0,0
14,14 Players,,,,,990,458,407,50,11,2,7,22,23,3,2,1,0,343,1,16
