,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Tammy Abraham,10.0,eng ENG,"FW,RW",19-314,80,16,2,2,7,7,2,16,1,1,100.0,0,0.0,6,37,16,1,0,0,2,1,11,4
1,Kyle Bartley,27.0,eng ENG,RW,26-082,10,6,2,6,0,0,0,6,0,0,,0,,2,9,1,0,0,0,0,0,3,0
2,Jordan Ayew,18.0,gh GHA,"FW,LW",25-335,90,35,4,5,20,10,0,35,1,0,0.0,1,100.0,18,136,47,2,0,1,1,4,30,9
3,Wayne Routledge,15.0,eng ENG,"AM,FW",32-217,85,25,1,7,11,7,1,25,1,1,100.0,0,0.0,11,34,5,0,0,0,2,2,16,3
4,Oliver McBurnie,62.0,sct SCO,FW,21-069,5,5,0,1,3,1,1,5,0,0,,0,,0,0,0,0,0,0,0,0,3,0
5,Tom Carroll,14.0,eng ENG,LM,25-076,90,47,4,11,35,3,0,47,0,0,,0,,12,79,35,0,0,0,1,1,28,1
6,Leon Britton,7.0,eng ENG,CM,34-330,73,30,0,8,21,1,0,30,0,0,,0,,5,25,4,0,0,0,1,0,21,0
7,Jay Fulton,56.0,sct SCO,CM,23-133,17,5,1,1,3,1,0,5,0,0,,0,,1,3,0,0,0,0,0,0,2,0
8,Leroy Fer,8.0,nl NED,RM,27-219,90,50,3,9,36,7,1,50,3,2,66.7,1,33.3,19,113,49,0,0,0,1,2,36,2
9,Martin Olsson,16.0,se SWE,LB,29-087,90,53,5,14,26,13,0,53,0,0,,0,,24,150,75,2,4,0,2,0,31,3
10,Alfie Mawson,6.0,eng ENG,CB,23-205,90,50,8,34,16,0,0,50,0,0,,0,,11,60,38,0,0,0,0,0,30,0
11,Federico Fernández,33.0,ar ARG,CB,28-172,90,67,12,44,22,1,0,67,0,0,,0,,27,148,100,0,0,0,1,0,41,0
12,Kyle Naughton,26.0,eng ENG,RB,28-268,90,63,7,24,34,6,0,63,0,0,,0,,9,56,39,0,0,0,0,0,30,2
13,Łukasz Fabiański,1.0,pl POL,GK,32-116,90,45,44,45,0,0,0,45,0,0,,0,,7,47,37,0,0,0,0,0,16,0
14,14 Players,,,,,990,497,93,211,234,57,5,497,6,4,66.7,2,33.3,152,897,446,5,4,1,11,10,298,24
