,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Benik Afobe,9.0,cd COD,FW,24-188,58,3,8,37.5,45,13,2,4,50.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,1
1,Jermain Defoe,18.0,eng ENG,FW,34-316,32,4,4,100.0,41,1,4,4,100.0,0,0,,0,0,,0,0.1,0.4,1,0,0,0,0
2,Joshua King,17.0,no NOR,FW,25-216,90,12,16,75.0,172,35,8,12,66.7,4,4,100.0,0,0,,0,0.0,0.0,0,2,0,0,1
3,Jordon Ibe,33.0,eng ENG,LM,21-254,59,19,23,82.6,354,110,10,12,83.3,5,6,83.3,3,3,100.0,0,0.1,0.1,1,4,0,0,4
4,Marc Pugh,7.0,eng ENG,LM,30-139,31,13,18,72.2,219,49,5,8,62.5,8,9,88.9,0,1,0.0,0,0.0,0.1,0,0,1,1,0
5,Harry Arter,8.0,ie IRL,CM,27-234,90,47,60,78.3,904,231,17,21,81.0,27,32,84.4,3,7,42.9,0,0.0,0.0,0,12,0,0,8
6,Andrew Surman,6.0,eng ENG,CM,30-364,90,49,64,76.6,1122,398,10,14,71.4,29,33,87.9,10,17,58.8,0,0.0,0.1,0,8,0,0,11
7,Ryan Fraser,24.0,sct SCO,RM,23-176,77,12,25,48.0,190,14,3,5,60.0,9,13,69.2,0,4,0.0,0,0.0,0.0,0,1,0,0,0
8,Lys Mousset,31.0,fr FRA,RM,21-192,13,2,4,50.0,25,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
9,Charlie Daniels,11.0,eng ENG,LB,30-346,90,48,64,75.0,997,329,16,19,84.2,26,33,78.8,6,11,54.5,0,0.0,0.1,0,8,1,0,6
10,Nathan Aké,5.0,nl NED,CB,22-182,90,48,57,84.2,1029,469,9,9,100.0,34,37,91.9,5,9,55.6,0,0.0,0.0,0,4,0,0,5
11,Steve Cook,3.0,eng ENG,CB,26-122,90,53,67,79.1,1295,717,12,13,92.3,31,37,83.8,10,17,58.8,0,0.1,0.1,1,7,1,0,3
12,Adam Smith,15.0,eng ENG,RB,26-112,90,35,44,79.5,694,87,12,14,85.7,18,22,81.8,5,7,71.4,0,0.0,0.0,0,2,1,0,3
13,Asmir Begović,27.0,ba BIH,GK,30-060,90,21,29,72.4,589,442,3,3,100.0,11,11,100.0,7,15,46.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,366,483,75.8,7676,2895,112,139,80.6,204,241,84.6,49,91,53.8,0,0.3,0.9,3,49,4,1,42
