,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Glenn Murray,17.0,eng ENG,FW,33-328,65,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,Tomer Hemed,10.0,il ISR,FW,30-109,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
2,Pascal Groß,13.0,de GER,FW,26-065,61,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
3,Anthony Knockaert,11.0,fr FRA,"RM,FW",25-272,29,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0
4,Jamie Murphy,15.0,sct SCO,LM,27-356,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
5,Davy Pröpper,24.0,nl NED,CM,25-351,90,3,1,2,1,0,0,2,0.0,2,2,0,2,1,4,1,0
6,Dale Stephens,6.0,eng ENG,CM,28-068,90,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,2,0
7,Solly March,20.0,eng ENG,"RM,FW",23-030,90,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0
8,Markus Suttner,29.0,at AUT,LB,30-125,90,2,1,2,0,0,2,3,66.7,1,0,0,0,1,3,2,1
9,Lewis Dunk,5.0,eng ENG,CB,25-271,90,1,0,1,0,0,0,0,,0,2,2,0,1,2,4,0
10,Shane Duffy,22.0,ie IRL,CB,25-230,90,2,2,2,0,0,2,2,100.0,0,2,2,0,1,3,8,0
11,Bruno,2.0,es ESP,RB,36-322,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
12,Mathew Ryan,1.0,au AUS,GK,25-133,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,1
13,13 Players,,,,,990,11,6,8,3,0,6,14,42.9,8,9,6,3,9,20,22,2
